WerkAutorinID,WerkID,GND,Werk
wa00181,w00181,116879017,"Heinrich Heine als deutscher Lyriker (Eine literarische Ketzerei), 1894."
wa00182,w00182,116879017,"Der Segen der Sünde (Geschichte eines Menschen), 1897. 10. T. 1905."
wa00183,w00183,116879017,"Probleme und Charakterköpfe (Studien zur Literatur unserer Zeit), 1897. 12. T. 1905."
wa00184,w00184,116879017,"Gottsuchers Wanderlieder (Dn.), 1898."
wa00185,w00185,116879017,"Die Halben (R. aus unserer Zeit), 1. u. 2. A. 1900."
wa00186,w00186,116879017,"Lucian (Auswahl a. seinen Schriften, hrsg.);"
wa00187,w00187,116879017,"Aus deutscher Dämmerung (Schattenbilder einer Übergangskultur), 1. u. 2. A. 1909."
wa00188,w00188,116879483,"Christian Günther (Schsp.), 1882."
wa00189,w00189,116879483,"Strandgut (Schsp.), 1885."
wa00190,w00190,116879483,"Hans im Glück (Schsp.), 1886."
wa00191,w00191,116879483,"In Kaisers Schutz (Festsp.), 1887."
wa00192,w00192,116879483,"Im Bann der Bühne (Ge. eines Schauspielers), 1901."
wa00193,w00193,116879483,"Im Theaterland (Hum. Sk.), 1908."
wa00194,w00194,1212021932,"Büchlein der Lieder, 1850."
wa00195,w00195,1212021932,"Fünfzig Stunden auf der Düna (Poet. E.), 1850."
wa00196,w00196,1212021932,"Neue Gedichte, 1851."
wa00197,w00197,1212021932,"Verandi (Zeitgedicht), 1855."
wa00198,w00198,11869894X,"Schatten u. Helle (Ge.), 1906."
wa00199,w00199,11869894X,"Sonette von der Liebe, 1908."
wa00200,w00200,11869894X,"Der Magier (Dr. in russisch. Sprache, deutsch von P. Potjomkin), 1909."
wa00201,w00201,11869894X,"„Telemach“ (Ge.), 1911."
wa00202,w00202,122762252X,"Lyrik (Ge.), 1900."
wa00203,w00203,116420871,"Hal Früchte der Schuld (Bürgerl. Tr.), 1892."
wa00204,w00204,116420871,"Die Eifersüchtigen (Schsp.), 1893."
wa00205,w00205,116420871,"Verkommen (Sittendrama), 1893."
wa00206,w00206,116420871,"Das Privatlogis (Lsp.), 1894."
wa00207,w00207,116420871,"Anka (Dram. Bild), 1894."
wa00208,w00208,116420871,"Wohltäter (Modernes Dr.), 1895. 2. A. 1899."
wa00209,w00209,116420871,"Muttersöhne (Dr. Lebensbild), 1896. 2. A. 1899."
wa00210,w00210,116420871,"Die Gallenen (Märchendrama), 1900."
wa00211,w00211,116420871,"Er und Sie (Tr. eines Weibes), 1902."
wa00212,w00212,116483350,"Napoleon (Dr. G.), 1880."
wa00213,w00213,116483350,"Goethe in der Epoche seiner Vollendung (1805-32), 1887."
wa00214,w00214,116483350,"Die klassische Asthetik der Deutschen, 1892."
wa00215,w00215,116483350,"Essays und Studien zur Literaturgeschichte, 1899."
wa00216,w00216,116483350,"Schiller (Biogr.), 1898. 3. A. 1905."
wa00217,w00217,116483350,"Goethes Gedichte in chronolog. Ordnung hrsg., 1901."
wa00218,w00218,116483350,"Der deutsche Klassizismus im Zeitalter Goethes (Literar. Sk.), 1906."
wa00219,w00219,116527935,"II, 1859-61."
wa00220,w00220,116527935,"Das Albungenlied (Ep. G. a. d. deutschen Sage); hohe Lied, übers. v. Willeram, erklärt von Relindis u. Herrat, Äbtissinnen zu Hohenheim im Elsaß; hrsg., 1864."
wa00221,w00221,116527935,"Untersuchungen zu Gudrun, 1866."
wa00222,w00222,136709680,"Maiblumen (Lr. einer Stillen im Lande; hrsg. v. Gustav Knak), 1860."
wa00223,w00223,136709680,"Blumen aus Gottes Garten (Lr. u. Ge.), 1902."
wa00224,w00224,103081062,"III, Die Kinder des Kommunisten (Volksschr.), 1877."
wa00225,w00225,103081062,Romant. Erzählungen aus Thüringens Vorzeit; 1885-87.
wa00226,w00226,103081062,"Kinderdramen (Theaterstücke, Puppenspiele ꝛc.), 1888."
wa00227,w00227,116932821,"Im Banne der Schmach (R.), 1885."
wa00228,w00228,116932821,"Dimitar (Histor. R.), 1886."
wa00229,w00229,118862944,"Schloß Übermut (N.), 1898. 2. A. 1902."
wa00230,w00230,118862944,"Arbeit (Schsp.), 1899."
wa00231,w00231,118862944,"Mesalliancen (12 Liebesund Ehegeschichten), 1900."
wa00232,w00232,118862944,"Die Könige (Dr. G.), 1901."
wa00233,w00233,118862944,"Die Sünden der Väter (Novelletten), 1905."
wa00234,w00234,118862944,"Thomas Kerkhoven (R.), 1906. 4. T. 1907."
wa00235,w00235,118862944,"Fräulein Resi (Kom.), 1907."
wa00236,w00236,116965355,"Wider die Natur (N. in V.), 1878."
wa00237,w00237,116965355,"Träumer-Erich (N. in V.), 1879."
wa00238,w00238,116965355,"Gedichte, 1882."
wa00239,w00239,116965355,"Mutterlieder, 1896. Neue Ausg. 1902."
wa00240,w00240,116965355,"Verse, 1900."
wa00241,w00241,1055122257,"Gedichte, 1878."
wa00242,w00242,117069698,"V. Gedichte, 1898. 2. A. 1903."
wa00243,w00243,117069698,"Zu höheren Sternen (Ein Strauß relig. Lyrik), 1903."
wa00244,w00244,117069698,"König Gustav Adolfs Vikingerfahrt nach Reval (Ep. G.), 1909."
wa00245,w00245,117069698,"Heimatstimmen (Ein baltisches Iahrbuch; hrsg. mit Viktor Wittrock), 1.- 5. Iahrg. 1904-'12."
wa00246,w00246,140283080,"Reisemomente, 1886. 3. A. 1890."
wa00247,w00247,140283080,"Von der Donau bis zur Demboviza, 1893."
wa00248,w00248,140283080,"Die Iuden im Orient, 1893."
wa00249,w00249,140283080,"Vom Kreuz zum Halbmond, 1894."
wa00250,w00250,140283080,"MittelmeerFragmente, 1895."
wa00251,w00251,140283080,"Im Morgenland, 1896."
wa00252,w00252,140283080,"Streifzüge und Streiflichter, 1897."
wa00253,w00253,140283080,"Ienseit der Pyrenäen (Kulturbilder aus Spanien, Portugal, Marokko), 1898."
wa00254,w00254,140283080,"Unter der britischen Flagge, 1889."
wa00255,w00255,140283080,"Wanderungen in Rußland (Zeitbilder), 1900."
wa00256,w00256,140283080,"Die nordische Atlantis (Island und Faröer). Kulturbilder und Landschaften, 1904."
wa00257,w00257,1089582196,"IaeII, 1882."
wa00258,w00258,1089582196,"III, 1886."
wa00259,w00259,1089582196,"Pyramide u. Ölberg (Reiseerinnerungen), 1877."
wa00260,w00260,1089582196,"Konflikte (R.); Verwirrte Fäden (R.), 1882."
wa00261,w00261,1089582196,"Vorurteile (R.), 1882."
wa00262,w00262,1089582196,"Licht, mehr Licht (Livländischer R.); Eine Schweizerreise (N.), 1891."
wa00263,w00263,1089582196,"Herzens-Irrlichter (N.), 1896."
wa00264,w00264,1089582196,"Der Schwur auf dem Ölberg (R.), 1897."
wa00265,w00265,117079669,"II, 1881"
wa00266,w00266,117079669,"88. Liederbuch eines Balten, 1880."
wa00267,w00267,117079669,"Sagen und Märchen des estnischen Volkes, übers.;"
wa00268,w00268,101788665,"Gedichte, 1874."
wa00269,w00269,118558765,"Gedichte, 1899. 7. A. 1908."
wa00270,w00270,118558765,"Maienregen, Gottessegen (Volksbuch), 1904."
wa00271,w00271,118558765,"Freud’ und Leid (Ostpreuß. Volksbuch), 1905."
wa00272,w00272,118558765,"Festblüten (Für die Feierstunden der Frauenhilfe), 1. Heft, 1906."
wa00273,w00273,118558765,"Festgedichte und Freundesgüße, 1906."
wa00274,w00274,118558765,"Neue Gedichte, 1908."
wa00275,w00275,116015683,"Kad Wandertage in Italien, 1874."
wa00276,w00276,116015683,"Durstige Tage (Eine welsche Weinwanderung), 1874."
wa00277,w00277,116015683,"Italiens Wunderhorn (Volkslieder in deutscher Übertrg.), 1878."
wa00278,w00278,116015683,"Sommerfahrt durch Italiens südliche Provinzen, 1880."
wa00279,w00279,116015683,"Unter den Olivenbäumen (Süditalien. Volksmärchen), 1880."
wa00280,w00280,116015683,"Italienische Gipsfiguren, 1881. 3. A. 1891."
wa00281,w00281,116015683,"Italien (Eine Sommerfahrt), 1881."
wa00282,w00282,116015683,"Skizzen u. Kulturbilder aus Italien, 1882. 2. A. 1891."
wa00283,w00283,116015683,"Pompejanische Novellen und andere, 1882."
wa00284,w00284,116015683,"Nach dem Süden (Wanderungen; mit Fritz Wernick), 1882."
