WerkID,Werk
w00140,"II,Morgenrot (Iugendlieder), 1870. ‒ Wein-Album (Ge.), 1880. ‒ Eine Hochzeitsreise, 1882. ‒ Normannische Balladen, 1884. ‒ Im Windesrauschen (Ep. Dn.), 1890. ‒ Beatennacht (Märchengesang a. Kurland), 1900. ‒ „Meine Stärke und mein Schild“ (Ge.), 1903. ‒ Zeichnungen eines Fahrenden (Nn., Studien und Erinnerungsblätter); 1. Bd., 1908. ‒ Gunnar von Hlidarandi (Isländ. Epos in 36 Ges.); 1909."
w00141,"Der grüne Tropfen (Nn.), 1907."
w00142,"Der erste Patient (Schw.), 1893."
w00143,"Ein gebeizter Schurke (Übermütige Geschn.), 1899."
w00144,"Die Nonne von Ghioceni u. andere rumänische Geschichten, 1899."
w00145,"Rumänische Hochzeitsund Totengebräuche, 1899."
w00146,"Dragan Bratow (R. aus Rumänien), 1899."
w00147,"Anca (Dr.), 1904."
w00148,"System Aubert (Komödie), 1904."
w00149,"Korrekt (Dr.), 1905."
w00150,"Fein gesponnen (R.), 1908."
w00151,"Poetischer Nachlaß; hersg. von Grave und Möller, 1833."
w00152,"Novellen, 1884."
w00153,"Der Wohltäter (Lsp.), 1903."
w00154,"Das einzige Hotel (Lsp.), 1904."
w00155,"Geld ist die Hauptsache (Lsp.), 1904."
w00156,"Kampf (R.), 1909."
w00157,"Die Verschwörer (Schw.), 1910."
w00158,"Die Kinder des Verbannten (R.), 1883."
w00159,"Die Frau des Verwalters (R.), 1879."
w00160,"Von hier und dort und überall (Gesammelte Novellen), 1893."
w00161,"Vi(Dr.), 1899."
w00162,"Per aspera ad (Schsp.), 1902."
w00163,"Napoleon I. im Verhängnis? (Milit. Sittenbild a. einer großen Garnison), 1898. 4. A. 1904."
w00164,"deant astra deutschen Drama (Beitrag z. Technik des histor. Dr.), 1903."
w00165,"An ihren Früchten ... (R. a. einer Großstadt), 1904."
w00166,"Ylo, Kaupos Sohn und Hanns von Tiesenhausen (E. f. d. reifere Iugend), 1901."
w00167,"Erleben (Livländ. R. a. d. Revolutionszeit), 1908."
w00168,"Cord Dürkop (E. a. d. Reformationszeit, Forts. von Ylo, Kaupos Sohn), 1909."
w00169,"Nordische Lieder, 1877."
w00170,"Neue nordische Lieder, 1894."
w00171,"Madlena Battani (Ep. D.), 1899."
w00172,"Neue Dichtungen, 1902."
w00173,"Lieder einer Lipländerin, 1896."
w00174,Balladen und Lieder von
w00175,"r, Sch[ellbach], C. Glitsch, A. W. Wittorff, C. Stern, 1846."
w00176,"Aus der Einsamkeit (Lr.), 1849."
w00177,"Ein Liebesroman (6 Lr. in Musik gesetzt von I. I. Schramek), 1850."
w00178,"Septembermoos (Ge.), 1850."
