SprachAutorinID,GND,Nachname,Sprache,SprachenID,ISO 639-3
sa0121,116931868,Gutfeldt,Russisch,s034,rus
sa0122,116931868,Gutfeldt,Englisch,s010,eng
sa0123,116931868,Gutfeldt ,Italienisch,s018,ita
sa0124,116931868,Gutfeldt ,Estnisch,s011,est
sa0125,116931868,Gutfeldt,Französisch,s012,fra
sa0126,116931868,Gutfeldt,Deutsch,s009,deu
sa0127,12420239X,Gerbel,Russisch,s034,rus
sa0128,12420239X,Gerbel,Latein,s020,lat
sa0129,12420239X,Gerbel,Deutsch,s009,deu
sa0130,1202427057,Haken,Altgriechisch,s002,grc
sa0131,1202427057,Haken,Hebräisch,s015,heb
sa0132,1202427057,Haken,Latein,s020,lat
sa0133,1202427057,Haken,Deutsch,s009,deu
sa0134,116523859,Hauff ,Hebräisch,s015,heb
sa0135,116523859,Hauff,Altgriechisch,s002,grc
sa0136,116523859,Hauff,Latein,s020,lat
sa0137,116523859,Hauff,Deutsch,s009,deu
sa0138,116527935,Haupt,Latein,s020,lat
sa0139,116527935,Haupt,Deutsch,s009,deu
sa0140,116932821,Hoerschelmann,Französisch,s012,fra
sa0141,116932821,Hoerschelmann,Italienisch,s018,ita
sa0142,116932821,Hoerschelmann,Deutsch,s009,deu
sa0143,118862944,Holm,Dänisch,s008,dan
sa0144,118862944,Holm,Englisch,s010,eng
sa0145,118862944,Holm,Französisch,s012,fra
sa0146,118862944,Holm,Latein,s020,lat
sa0147,118862944,Holm,Russisch,s034,rus
sa0148,118862944,Holm,Schwedisch,s036,swe
sa0149,116965355,Holm,Französisch,s012,fra
sa0150,116965355,Holm,Russisch,s034,rus
sa0151,116965355,Holm,Deutsch,s009,deu
sa0152,1055122257,Hülsen,Französisch,s012,fra
sa0153,1055122257,Hülsen,Latein,s020,lat
sa0154,1055122257,Hülsen,Deutsch,s009,deu
sa0155,117069698,Hunnius,Arabisch,s006,ara
sa0156,117069698,Hunnius,Estnisch,s011,est
sa0157,117069698,Hunnius,Griechisch,s014,grc
sa0158,117069698,Hunnius,Hebräisch,s015,heb
sa0159,117069698,Hunnius,Latein,s020,lat
sa0160,117069698,Hunnius,Lettisch,s021,lav
sa0161,117069698,Hunnius,Russisch,s034,rus
sa0162,117069698,Hunnius,Schwedisch,s036,swe
sa0163,117069698,Hunnius,Deutsch,s009,deu
sa0164,140283080,Jaeger,Latein,s020,lat
sa0165,140283080,Jaeger,Deutsch,s009,deu
sa0166,117079669,Jannsen,Estnisch,s011,est
sa0167,117079669,Jannsen,Deutsch,s009,deu
sa0168,101788665,Jessen,orientalische Sprache/n,s027,
sa0169,101788665,Jessen,Russisch,s034,rus
sa0170,101788665,Jessen,Deutsch,s009,deu
sa0171,118558765,Jung,Dialekt Niederpreußisch/ ostpreußisches Plattdeutsch,s009,
sa0172,118558765,Jung,Deutsch,s009,deu
sa0173,116015683,Kaden,Altgriechisch,s002,grc
sa0174,116015683,Kaden,Hebräisch,s015,heb
sa0175,116015683,Kaden,Italienisch,s018,ita
sa0176,116015683,Kaden,Latein,s020,lat
sa0177,116015683,Kaden,Deutsch,s009,deu
sa0178,118721690,Keller,Altgriechisch,s002,grc
sa0179,118721690,Keller,Hebräisch,s015,heb
sa0180,118721690,Keller,Latein,s020,lat
sa0181,118721690,Keller,mehrsprachig,s023,
sa0182,118721690,Keller,Deutsch,s009,deu
sa0183,1102221384,Keuchel,Latein,s020,lat
sa0184,1102221384,Keuchel,Russisch,s034,rus
sa0185,1102221384,Keuchel,Deutsch,s009,deu
sa0186,1157580815,Kienitz,Altgriechisch,s002,grc
sa0187,1157580815,Kienitz,Hebräisch,s015,heb
sa0188,1157580815,Kienitz,Latein,s020,lat
sa0189,1157580815,Kienitz,Deutsch,s009,deu
sa0190,113665954,Kotzebue,Rumänisch,s033,ron
sa0191,113665954,Kotzebue,Russisch,s034,rus
sa0192,113665954,Kotzebue,Deutsch,s009,deu
sa0193,1018227644,Kováts,Polnisch,s030,pol
sa0194,1018227644,Kováts,Deutsch,s009,deu
sa0195,116555211,Kronfeld,Latein,s020,lat
