identifier,wohnort_1,wohnort_2,wohnort_3,wohnort_4,wohnort_5,wohnort_6,wohnort_7,wohnort_8,wohnort_9,wohnort_10,wohnort_11,wohnort_12,wohnort_13
unidentified00218,Leipzig,Berlin,,,,,,,,,,,
unidentified00219,,,,,,,,,,,,,
unidentified00220,Leipzig,Berlin,,,,,,,,,,,
unidentified00221,,,,,,,,,,,,,
unidentified00222,Nürnberg,,,,,,,,,,,,
unidentified00223,Nürnberg,,,,,,,,,,,,
unidentified00224,,,,,,,,,,,,,
unidentified00225,Sand,Breslau,,,,,,,,,,,
unidentified00226,Pressburg,,,,,,,,,,,,
unidentified00227,Wiesbaden,,,,,,,,,,,,
unidentified00228,Leipzig,,,,,,,,,,,,
unidentified00229,Glaubitten,Berlin,,,,,,,,,,,
unidentified00230,Stuttgart,,,,,,,,,,,,
unidentified00231,Wien,,,,,,,,,,,,
unidentified00232,Stuttgart,,,,,,,,,,,,
unidentified00233,München,,,,,,,,,,,,
unidentified00234,Esslingen,,,,,,,,,,,,
unidentified00235,Wiesbaden,Wetzlar,,,,,,,,,,,
unidentified00236,St. Gallen,Wien,Marburg,Winterthur,Zürich,,,,,,,,
unidentified00237,Hamburg,,,,,,,,,,,,
unidentified00238,Nordhausen,,,,,,,,,,,,
unidentified00239,Leipzig,,,,,,,,,,,,
unidentified00240,Berlin,,,,,,,,,,,,
unidentified00241,Wien,Brieg,,,,,,,,,,,
unidentified00242,Lausanne,,,,,,,,,,,,
unidentified00243,Bern,Wien,Bonn,Klagenfurt,,,,,,,,,
unidentified00244,Leipzig,Bremen,,,,,,,,,,,
unidentified00245,Pressburg,Wien,,,,,,,,,,,
unidentified00246,Glogau,,,,,,,,,,,,
unidentified00247,Wien,Ebensee,,,,,,,,,,,
unidentified00248,Iena,Berlin,,,,,,,,,,,
unidentified00249,Tarnow,Spandau,,,,,,,,,,,
unidentified00250,Bern,Plagwitz,Leipzig,,,,,,,,,,
unidentified00251,Warschau,,,,,,,,,,,,
unidentified00252,Dresden,,,,,,,,,,,,
unidentified00253,Aarau,,,,,,,,,,,,
unidentified00254,Berlin,,,,,,,,,,,,
unidentified00255,Basel,,,,,,,,,,,,
unidentified00256,Plagwitz,Leipzig,,,,,,,,,,,
unidentified00257,Tarnow,Leipzig,,,,,,,,,,,
unidentified00258,,,,,,,,,,,,,
unidentified00259,Leipzig,,,,,,,,,,,,
unidentified00260,,,,,,,,,,,,,
unidentified00261,Berlin,,,,,,,,,,,,
unidentified00262,Dresden,Chemnitz,Wien,Geestemünde,,,,,,,,,
unidentified00263,Rom,Breslau,,,,,,,,,,,
unidentified00264,,,,,,,,,,,,,
unidentified00265,Rom,Breslau,,,,,,,,,,,
unidentified00266,,,,,,,,,,,,,
unidentified00267,Hamburg,,,,,,,,,,,,
unidentified00268,Rom,London,Leipzig,Potsdam,Berlin,,,,,,,,
unidentified00269,,,,,,,,,,,,,
unidentified00270,Köthen,Leipzig,Nürnberg,,,,,,,,,,
unidentified00271,Lichtenthal,,,,,,,,,,,,
unidentified00272,München,Rom,Verden,Lüneburg,Hannover,,,,,,,,
unidentified00273,Freiburg,,,,,,,,,,,,
unidentified00274,Leipzig,,,,,,,,,,,,
unidentified00275,Wien,,,,,,,,,,,,
unidentified00276,München,Rom,Würzburg,,,,,,,,,,
unidentified00277,Wien,,,,,,,,,,,,
unidentified00278,Zürich,,,,,,,,,,,,
unidentified00279,München,Wiesbaden,,,,,,,,,,,
unidentified00280,Königsberg,,,,,,,,,,,,
unidentified00281,Berlin,,,,,,,,,,,,
unidentified00282,Bern,,,,,,,,,,,,
unidentified00283,Dresden,Sand,,,,,,,,,,,
unidentified00284,Sand,Prag,,,,,,,,,,,
unidentified00285,Dresden,Sand,,,,,,,,,,,
unidentified00286,Sand,Prag,,,,,,,,,,,
unidentified00287,Wien,Krummwasser,,,,,,,,,,,
unidentified00288,,,,,,,,,,,,,
unidentified00289,Rom,Berlin,,,,,,,,,,,
unidentified00290,Wiesbaden,Leipzig,Bremen,,,,,,,,,,
unidentified00291,Stein,Berlin,,,,,,,,,,,
unidentified00292,Magdeburg,Hamburg,,,,,,,,,,,
unidentified00293,Rochlitz,Halle,,,,,,,,,,,
unidentified00294,Charlottenburg,,,,,,,,,,,,
unidentified00295,,,,,,,,,,,,,
unidentified00296,Bern,,,,,,,,,,,,
unidentified00297,Berlin,,,,,,,,,,,,
unidentified00298,London,,,,,,,,,,,,
unidentified00299,,,,,,,,,,,,,
unidentified00300,Hildesheim,,,,,,,,,,,,
unidentified00301,Königsberg,,,,,,,,,,,,
unidentified00302,Friedenau,Berlin,,,,,,,,,,,
unidentified00303,Leipzig,,,,,,,,,,,,
unidentified00304,Leipzig,,,,,,,,,,,,
unidentified00305,Esslingen,,,,,,,,,,,,
unidentified00306,Stuttgart,,,,,,,,,,,,
unidentified00307,,,,,,,,,,,,,
unidentified00308,München,,,,,,,,,,,,
unidentified00309,Dresden,,,,,,,,,,,,
unidentified00310,Regensburg,Schaffhausen,,,,,,,,,,,
unidentified00311,Risch,Stuttgart,,,,,,,,,,,
unidentified00312,München,,,,,,,,,,,,
unidentified00313,München,,,,,,,,,,,,
unidentified00314,Regensburg,Schaffhausen,,,,,,,,,,,
unidentified00315,Risch,Stuttgart,,,,,,,,,,,
unidentified00316,München,,,,,,,,,,,,
unidentified00317,München,,,,,,,,,,,,
unidentified00318,Regensburg,Schaffhausen,,,,,,,,,,,
unidentified00319,Risch,Stuttgart,,,,,,,,,,,
unidentified00320,München,,,,,,,,,,,,
unidentified00321,München,,,,,,,,,,,,
unidentified00322,Regensburg,Schaffhausen,,,,,,,,,,,
unidentified00323,Risch,Stuttgart,,,,,,,,,,,
unidentified00324,München,,,,,,,,,,,,
unidentified00325,München,,,,,,,,,,,,
unidentified00326,,,,,,,,,,,,,
unidentified00327,,,,,,,,,,,,,
unidentified00328,Celle,Braunschweig,,,,,,,,,,,
unidentified00329,Frankfurt a. O.,Frankfurt a. O.,Hamm,Hamburg,,,,,,,,,
unidentified00330,Heidelberg,Altenburg,,,,,,,,,,,
unidentified00331,Iena,Dirschau,,,,,,,,,,,
unidentified00332,Freiburg,Brüssel,Kassel,Berlin,Worms,,,,,,,,
unidentified00333,Braunschweig,,,,,,,,,,,,
unidentified00334,Trier,,,,,,,,,,,,
unidentified00335,Berlin,,,,,,,,,,,,
unidentified00336,Darmstadt,,,,,,,,,,,,
unidentified00337,Düsseldorf,,,,,,,,,,,,
unidentified00338,,,,,,,,,,,,,
unidentified00339,,,,,,,,,,,,,
unidentified00340,Sagan,,,,,,,,,,,,
unidentified00341,,,,,,,,,,,,,
unidentified00342,München,Regensburg,,,,,,,,,,,
unidentified00343,Friedenau,,,,,,,,,,,,
unidentified00344,Dresden,Breslau,,,,,,,,,,,
unidentified00345,Düsseldorf,Dillenburg,Berlin,,,,,,,,,,
unidentified00346,Würzburg,,,,,,,,,,,,
unidentified00347,Wien,,,,,,,,,,,,
unidentified00348,Hannover,,,,,,,,,,,,
unidentified00349,Düsseldorf,Bonn,Neuwied,Linz,,,,,,,,,
unidentified00350,Schwerin,,,,,,,,,,,,
unidentified00351,,,,,,,,,,,,,
unidentified00352,Leipzig,,,,,,,,,,,,
unidentified00353,Rom,Breslau,Kassel,Iauer,Berlin,,,,,,,,
unidentified00354,Rom,Charlottenburg,Berlin,,,,,,,,,,
unidentified00355,,,,,,,,,,,,,
unidentified00356,Wien,,,,,,,,,,,,
unidentified00357,Aarau,,,,,,,,,,,,
unidentified00358,Stuttgart,Karlsruhe,,,,,,,,,,,
unidentified00359,Bremen,,,,,,,,,,,,
unidentified00360,Dresden,,,,,,,,,,,,
unidentified00361,Wien,Berlin,Graz,,,,,,,,,,
unidentified00362,Glogau,,,,,,,,,,,,
unidentified00363,Washington,London,Rostock,Leipzig,,,,,,,,,
unidentified00364,Wien,Neutitschein,Fels,,,,,,,,,,
unidentified00365,München,,,,,,,,,,,,
unidentified00366,Stuttgart,,,,,,,,,,,,
unidentified00367,Ulm,,,,,,,,,,,,
unidentified00368,,,,,,,,,,,,,
unidentified00369,Merseburg,,,,,,,,,,,,
unidentified00370,,,,,,,,,,,,,
unidentified00371,,,,,,,,,,,,,
unidentified00372,Berlin,,,,,,,,,,,,
unidentified00373,Aachen,Erfurt,,,,,,,,,,,
unidentified00374,Dresden,,,,,,,,,,,,
unidentified00375,Turin,Stettin,,,,,,,,,,,
unidentified00376,,,,,,,,,,,,,
unidentified00377,Stuttgart,,,,,,,,,,,,
unidentified00378,Berlin,Weimar,,,,,,,,,,,
unidentified00379,Dresden,Athen,Triest,Wien,Stuttgart,Berlin,,,,,,,
unidentified00380,Hamburg,,,,,,,,,,,,
unidentified00381,München,,,,,,,,,,,,
unidentified00382,,,,,,,,,,,,,
unidentified00383,Rom,Neapel,Charlottenburg,Freienwalde,Florenz,Hamburg,Berlin,,,,,,
unidentified00384,,,,,,,,,,,,,
unidentified00385,Stein,Berlin,,,,,,,,,,,
unidentified00386,Gotha,,,,,,,,,,,,
unidentified00387,,,,,,,,,,,,,
unidentified00388,,,,,,,,,,,,,
unidentified00389,Berlin,,,,,,,,,,,,
unidentified00390,Baden-Baden,,,,,,,,,,,,
unidentified00391,Lübben,,,,,,,,,,,,
unidentified00392,,,,,,,,,,,,,
unidentified00393,Königsberg,Castell,,,,,,,,,,,
unidentified00394,Berlin,,,,,,,,,,,,
unidentified00395,Friedenau,Baltimore,Berlin,,,,,,,,,,
unidentified00396,Dresden,,,,,,,,,,,,
unidentified00397,Würzburg,,,,,,,,,,,,
unidentified00398,Pressburg,,,,,,,,,,,,
unidentified00399,Bern,London,,,,,,,,,,,
unidentified00400,Stuttgart,,,,,,,,,,,,
unidentified00401,Berlin,,,,,,,,,,,,
unidentified00402,,,,,,,,,,,,,
unidentified00403,Rom,Leipzig,,,,,,,,,,,
unidentified00404,,,,,,,,,,,,,
unidentified00405,Bonn,,,,,,,,,,,,
unidentified00406,Prag,Leipzig,Zeitz,,,,,,,,,,
unidentified00407,Rom,Wien,Breslau,,,,,,,,,,
unidentified00408,Berlin,,,,,,,,,,,,
unidentified00409,Mainz,Hamburg,,,,,,,,,,,
unidentified00410,,,,,,,,,,,,,
unidentified00411,Prag,Leipzig,,,,,,,,,,,
unidentified00412,Petersburg,London,Riga,,,,,,,,,,
unidentified00413,,,,,,,,,,,,,
unidentified00414,,,,,,,,,,,,,
unidentified00415,,,,,,,,,,,,,
unidentified00416,,,,,,,,,,,,,
unidentified00417,,,,,,,,,,,,,
unidentified00418,,,,,,,,,,,,,
unidentified00419,,,,,,,,,,,,,
unidentified00420,,,,,,,,,,,,,
unidentified00421,,,,,,,,,,,,,
unidentified00422,,,,,,,,,,,,,
unidentified00423,Strehlen,,,,,,,,,,,,
unidentified00424,Hannover,,,,,,,,,,,,
unidentified00425,Strehlen,,,,,,,,,,,,
unidentified00426,Hannover,,,,,,,,,,,,
unidentified00427,Hamburg,,,,,,,,,,,,
unidentified00428,Stuttgart,,,,,,,,,,,,
unidentified00429,Regensburg,,,,,,,,,,,,
unidentified00430,Schwerin,Berlin,,,,,,,,,,,
unidentified00431,Rom,,,,,,,,,,,,
unidentified00432,,,,,,,,,,,,,
unidentified00433,,,,,,,,,,,,,
unidentified00434,,,,,,,,,,,,,
unidentified00435,,,,,,,,,,,,,
unidentified00436,,,,,,,,,,,,,
unidentified00437,,,,,,,,,,,,,
unidentified00438,Breslau,,,,,,,,,,,,
unidentified00439,Rom,Münster,,,,,,,,,,,
unidentified00440,,,,,,,,,,,,,
unidentified00441,Rom,Münster,,,,,,,,,,,
unidentified00442,,,,,,,,,,,,,
unidentified00443,Berlin,,,,,,,,,,,,
unidentified00444,Mainz,,,,,,,,,,,,
unidentified00445,Stein,Stuttgart,Ulm,,,,,,,,,,
unidentified00446,,,,,,,,,,,,,
unidentified00447,,,,,,,,,,,,,
unidentified00448,Hildesheim,,,,,,,,,,,,
unidentified00449,Hamburg,,,,,,,,,,,,
unidentified00450,Rom,Darmstadt,Berlin,Worms,,,,,,,,,
unidentified00451,,,,,,,,,,,,,
unidentified00452,Prag,,,,,,,,,,,,
unidentified00453,Regensburg,,,,,,,,,,,,
unidentified00454,Königsberg,,,,,,,,,,,,
unidentified00455,,,,,,,,,,,,,
unidentified00456,Nürnberg,,,,,,,,,,,,
unidentified00457,,,,,,,,,,,,,
unidentified00458,Gotha,,,,,,,,,,,,
unidentified00459,Hamburg,,,,,,,,,,,,
unidentified00460,Wien,,,,,,,,,,,,
unidentified00461,Wien,,,,,,,,,,,,
unidentified00462,Berlin,,,,,,,,,,,,
unidentified00463,Frankfurt a. O.,Frankfurt a. O.,,,,,,,,,,,
unidentified00464,Weimar,,,,,,,,,,,,
unidentified00465,München,Prag,,,,,,,,,,,
unidentified00466,,,,,,,,,,,,,
unidentified00467,Bern,,,,,,,,,,,,
unidentified00468,Breslau,,,,,,,,,,,,
unidentified00469,,,,,,,,,,,,,
unidentified00470,,,,,,,,,,,,,
unidentified00471,,,,,,,,,,,,,
unidentified00472,,,,,,,,,,,,,
unidentified00473,München,Regensburg,Wien,Stuttgart,Berlin,,,,,,,,
unidentified00474,Rom,Nürnberg,,,,,,,,,,,
unidentified00475,München,Wien,Paris,Gotha,Berlin,,,,,,,,
unidentified00476,Leipzig,,,,,,,,,,,,
unidentified00477,Leipzig,,,,,,,,,,,,
unidentified00478,Berlin,,,,,,,,,,,,
unidentified00479,Berlin,,,,,,,,,,,,
unidentified00480,Halle a. S.,Giebichenstein,Halle,,,,,,,,,,
unidentified00481,Mannheim,,,,,,,,,,,,
unidentified00482,Soltau,Berlin,,,,,,,,,,,
unidentified00483,Leipzig,,,,,,,,,,,,
unidentified00484,Berlin,,,,,,,,,,,,
unidentified00485,Wehlau,,,,,,,,,,,,
unidentified00486,Thure,,,,,,,,,,,,
unidentified00487,,,,,,,,,,,,,
unidentified00488,,,,,,,,,,,,,
unidentified00489,Wien,,,,,,,,,,,,
unidentified00490,Amsterdam,Berlin,,,,,,,,,,,
unidentified00491,,,,,,,,,,,,,
unidentified00492,,,,,,,,,,,,,
unidentified00493,,,,,,,,,,,,,
unidentified00494,,,,,,,,,,,,,
unidentified00495,,,,,,,,,,,,,
unidentified00496,,,,,,,,,,,,,
unidentified00497,Darmstadt,,,,,,,,,,,,
unidentified00498,Leipzig,,,,,,,,,,,,
unidentified00499,,,,,,,,,,,,,
unidentified00500,Düsseldorf,,,,,,,,,,,,
unidentified00501,Bielefeld,,,,,,,,,,,,
unidentified00502,Berlin,,,,,,,,,,,,
unidentified00503,Stein,Berlin,Erfurt,,,,,,,,,,
unidentified00504,Liegnitz,,,,,,,,,,,,
unidentified00505,Königsberg,,,,,,,,,,,,
unidentified00506,Leipzig,,,,,,,,,,,,
unidentified00507,,,,,,,,,,,,,
unidentified00508,Leipzig,,,,,,,,,,,,
unidentified00509,,,,,,,,,,,,,
unidentified00510,Frankfurt a. O.,Frankfurt a. O.,,,,,,,,,,,
unidentified00511,,,,,,,,,,,,,
unidentified00512,,,,,,,,,,,,,
unidentified00513,Berlin,,,,,,,,,,,,
unidentified00514,,,,,,,,,,,,,
unidentified00515,Berlin,,,,,,,,,,,,
unidentified00516,Leipzig,,,,,,,,,,,,
unidentified00517,,,,,,,,,,,,,
unidentified00518,Wien,,,,,,,,,,,,
unidentified00519,,,,,,,,,,,,,
unidentified00520,Riga,,,,,,,,,,,,
unidentified00521,,,,,,,,,,,,,
unidentified00522,Riga,,,,,,,,,,,,
unidentified00523,,,,,,,,,,,,,
unidentified00524,,,,,,,,,,,,,
unidentified00525,Wien,,,,,,,,,,,,
unidentified00526,Braunschweig,,,,,,,,,,,,
unidentified00527,,,,,,,,,,,,,
unidentified00528,Dresden,,,,,,,,,,,,
unidentified00529,Berlin,,,,,,,,,,,,
unidentified00530,Bad Homburg,,,,,,,,,,,,
unidentified00531,Hildesheim,,,,,,,,,,,,
unidentified00532,,,,,,,,,,,,,
