identifier,wohnort_1,wohnort_2,wohnort_3,wohnort_4,wohnort_5,wohnort_6,wohnort_7,wohnort_8,wohnort_9,wohnort_10,wohnort_11,wohnort_12,wohnort_13
unidentified01072,Leipzig,,,,,,,,,,,,
unidentified01073,Charlottenburg,,,,,,,,,,,,
unidentified01074,Leipzig,,,,,,,,,,,,
unidentified01075,Breslau,,,,,,,,,,,,
unidentified01076,Freiburg,,,,,,,,,,,,
unidentified01077,Dresden,,,,,,,,,,,,
unidentified01078,Frankfurt a. M.,Frankfurt a. M.,,,,,,,,,,,
unidentified01079,,,,,,,,,,,,,
unidentified01080,Wiesbaden,,,,,,,,,,,,
unidentified01081,Dresden,Zwickau,,,,,,,,,,,
unidentified01082,Leipzig,,,,,,,,,,,,
unidentified01083,Dresden,Bern,Halle a. S.,Wien,Halberstadt,Halle,Kassel,Liegnitz,Hannover,Leipzig,Berlin,Braunschweig,
unidentified01084,,,,,,,,,,,,,
unidentified01085,Oranienburg,,,,,,,,,,,,
unidentified01086,,,,,,,,,,,,,
unidentified01087,,,,,,,,,,,,,
unidentified01088,,,,,,,,,,,,,
unidentified01089,,,,,,,,,,,,,
unidentified01090,Hannover,Weimar,,,,,,,,,,,
unidentified01091,Wien,,,,,,,,,,,,
unidentified01092,Glogau,,,,,,,,,,,,
unidentified01093,,,,,,,,,,,,,
unidentified01094,Hamburg,Hildesheim,,,,,,,,,,,
unidentified01095,Aachen,,,,,,,,,,,,
unidentified01096,Leipzig,,,,,,,,,,,,
unidentified01097,Berlin,,,,,,,,,,,,
unidentified01098,,,,,,,,,,,,,
unidentified01099,Berlin,,,,,,,,,,,,
unidentified01100,Wien,,,,,,,,,,,,
unidentified01101,Köln,,,,,,,,,,,,
unidentified01102,Mainz,Wiesbaden,Dessau,Graudenz,Köln,Leipzig,Kreuznach,Berlin,,,,,
unidentified01103,München,,,,,,,,,,,,
unidentified01104,Darmstadt,,,,,,,,,,,,
unidentified01105,Darmstadt,Marburg,Quedlinburg,,,,,,,,,,
unidentified01106,Berlin,,,,,,,,,,,,
unidentified01107,Basel,,,,,,,,,,,,
unidentified01108,Stuttgart,,,,,,,,,,,,
unidentified01109,,,,,,,,,,,,,
unidentified01110,Lenzburg,,,,,,,,,,,,
unidentified01111,Zürich,,,,,,,,,,,,
unidentified01112,München,,,,,,,,,,,,
unidentified01113,Halle,,,,,,,,,,,,
unidentified01114,Hagen,,,,,,,,,,,,
unidentified01115,Stuttgart,,,,,,,,,,,,
unidentified01116,Bern,Berlin,,,,,,,,,,,
unidentified01117,Magdeburg,,,,,,,,,,,,
unidentified01118,Graudenz,,,,,,,,,,,,
unidentified01119,,,,,,,,,,,,,
unidentified01120,Werne,,,,,,,,,,,,
unidentified01121,Wien,,,,,,,,,,,,
unidentified01122,Hill,Wiesbaden,London,,,,,,,,,,
unidentified01123,Hill,Pawlowitz,Brieg,,,,,,,,,,
unidentified01124,München,,,,,,,,,,,,
unidentified01125,Leipzig,,,,,,,,,,,,
unidentified01126,Leipzig,,,,,,,,,,,,
unidentified01127,Leipzig,,,,,,,,,,,,
unidentified01128,Barmen,,,,,,,,,,,,
unidentified01129,Halle a. S.,Weiden,Halle,Hamburg,Berlin,,,,,,,,
unidentified01130,Leipzig,,,,,,,,,,,,
unidentified01131,Magdeburg,,,,,,,,,,,,
unidentified01132,Wiesbaden,,,,,,,,,,,,
unidentified01133,,,,,,,,,,,,,
unidentified01134,München,,,,,,,,,,,,
unidentified01135,Münster,,,,,,,,,,,,
unidentified01136,,,,,,,,,,,,,
unidentified01137,Leipzig,,,,,,,,,,,,
unidentified01138,,,,,,,,,,,,,
unidentified01139,Leipzig,,,,,,,,,,,,
unidentified01140,Berlin,,,,,,,,,,,,
unidentified01141,,,,,,,,,,,,,
unidentified01142,Königsberg,,,,,,,,,,,,
unidentified01143,Frankfurt am Main,,,,,,,,,,,,
unidentified01144,Rom,Breslau,,,,,,,,,,,
unidentified01145,,,,,,,,,,,,,
unidentified01146,Dresden,Wangen,Erfurt,,,,,,,,,,
unidentified01147,Dresden,,,,,,,,,,,,
unidentified01148,Basel,,,,,,,,,,,,
unidentified01149,Krotoschin,Potsdam,,,,,,,,,,,
unidentified01150,Strassburg,Zabern,Pirmasens,,,,,,,,,,
unidentified01151,Aachen,Erfurt,,,,,,,,,,,
unidentified01152,Breslau,,,,,,,,,,,,
unidentified01153,Albacete,Nürnberg,,,,,,,,,,,
unidentified01154,Freiburg,,,,,,,,,,,,
unidentified01155,Strassburg,,,,,,,,,,,,
unidentified01156,Hamburg,,,,,,,,,,,,
unidentified01157,Nürnberg,,,,,,,,,,,,
unidentified01158,Stuttgart,,,,,,,,,,,,
unidentified01159,Rom,Mainz,Berlin,,,,,,,,,,
unidentified01160,Berlin,,,,,,,,,,,,
unidentified01161,Dresden,,,,,,,,,,,,
unidentified01162,,,,,,,,,,,,,
unidentified01163,,,,,,,,,,,,,
unidentified01164,Rom,Brackel,Münster,Köln,Fels,,,,,,,,
unidentified01165,,,,,,,,,,,,,
unidentified01166,Amsterdam,Neapel,Elberfeld,Berlin,,,,,,,,,
unidentified01167,Breslau,,,,,,,,,,,,
unidentified01168,,,,,,,,,,,,,
unidentified01169,Berlin,,,,,,,,,,,,
unidentified01170,Landshut,,,,,,,,,,,,
unidentified01171,Rom,Wien,,,,,,,,,,,
unidentified01172,Göttingen,,,,,,,,,,,,
unidentified01173,Hamburg,,,,,,,,,,,,
unidentified01174,,,,,,,,,,,,,
unidentified01175,Wien,,,,,,,,,,,,
unidentified01176,Leipzig,,,,,,,,,,,,
unidentified01177,,,,,,,,,,,,,
unidentified01178,Reutlingen,,,,,,,,,,,,
unidentified01179,Berlin,,,,,,,,,,,,
unidentified01180,Dresden,,,,,,,,,,,,
unidentified01181,Wien,,,,,,,,,,,,
unidentified01182,Karlsruhe,,,,,,,,,,,,
unidentified01183,,,,,,,,,,,,,
unidentified01184,Schleswig,,,,,,,,,,,,
unidentified01185,Breslau,,,,,,,,,,,,
unidentified01186,Wien,Elbogen,,,,,,,,,,,
unidentified01187,Delmenhorst,,,,,,,,,,,,
unidentified01188,Breslau,,,,,,,,,,,,
unidentified01189,Regensburg,,,,,,,,,,,,
unidentified01190,Frankfurt a. M.,Frankfurt a. M.,,,,,,,,,,,
unidentified01191,,,,,,,,,,,,,
unidentified01192,Königsberg,,,,,,,,,,,,
unidentified01193,,,,,,,,,,,,,
unidentified01194,Neisse,,,,,,,,,,,,
unidentified01195,,,,,,,,,,,,,
unidentified01196,Leipzig,,,,,,,,,,,,
unidentified01197,Neuchâtel,,,,,,,,,,,,
unidentified01198,Berlin,,,,,,,,,,,,
unidentified01199,Stuttgart,Cannstatt,,,,,,,,,,,
unidentified01200,Bremen,,,,,,,,,,,,
unidentified01201,,,,,,,,,,,,,
unidentified01202,Glogau,,,,,,,,,,,,
unidentified01203,Rom,Rostock,,,,,,,,,,,
unidentified01204,Wien,Feistritz,,,,,,,,,,,
unidentified01205,Forst,Berlin,,,,,,,,,,,
unidentified01206,Rom,Koblenz,,,,,,,,,,,
unidentified01207,,,,,,,,,,,,,
unidentified01208,,,,,,,,,,,,,
unidentified01209,Pankow,Berlin,,,,,,,,,,,
unidentified01210,,,,,,,,,,,,,
unidentified01211,Aarau,,,,,,,,,,,,
unidentified01212,,,,,,,,,,,,,
unidentified01213,Bern,,,,,,,,,,,,
unidentified01214,,,,,,,,,,,,,
unidentified01215,Berlin,,,,,,,,,,,,
unidentified01216,,,,,,,,,,,,,
unidentified01217,Zweibrücken,,,,,,,,,,,,
unidentified01218,Mannheim,Hamburg,Berlin,Weimar,,,,,,,,,
unidentified01219,Ravensburg,,,,,,,,,,,,
unidentified01220,,,,,,,,,,,,,
unidentified01221,Kopenhagen,,,,,,,,,,,,
unidentified01222,Frankfurt a. M.,Frankfurt a. M.,Berlin,,,,,,,,,,
unidentified01223,Königsberg,,,,,,,,,,,,
unidentified01224,Appenzell,Zürich,,,,,,,,,,,
unidentified01225,Berlin,,,,,,,,,,,,
unidentified01226,Reudnitz,Leipzig,,,,,,,,,,,
unidentified01227,Berlin,,,,,,,,,,,,
unidentified01228,Wien,,,,,,,,,,,,
unidentified01229,Bonn,,,,,,,,,,,,
unidentified01230,London,Hampstead,Berlin,,,,,,,,,,
unidentified01231,,,,,,,,,,,,,
unidentified01232,Berlin,,,,,,,,,,,,
unidentified01233,Stuttgart,,,,,,,,,,,,
unidentified01234,Leipzig,,,,,,,,,,,,
unidentified01235,Stuttgart,,,,,,,,,,,,
unidentified01236,Leipzig,,,,,,,,,,,,
unidentified01237,,,,,,,,,,,,,
unidentified01238,Prag,Wien,,,,,,,,,,,
unidentified01239,,,,,,,,,,,,,
unidentified01240,,,,,,,,,,,,,
unidentified01241,,,,,,,,,,,,,
unidentified01242,,,,,,,,,,,,,
unidentified01243,Petersburg,St. Petersburg,,,,,,,,,,,
unidentified01244,Berlin,,,,,,,,,,,,
unidentified01245,Graz,,,,,,,,,,,,
unidentified01246,Bielefeld,Hamm,Stuttgart,Beverungen,Solingen,Moers am Rhein,,,,,,,
unidentified01247,Pest,,,,,,,,,,,,
unidentified01248,Leipzig,,,,,,,,,,,,
unidentified01249,,,,,,,,,,,,,
unidentified01250,,,,,,,,,,,,,
unidentified01251,Mannheim,Weimar,,,,,,,,,,,
unidentified01252,Stein,Wien,,,,,,,,,,,
unidentified01253,Wien,Marburg,Feistritz,,,,,,,,,,
unidentified01254,Strassburg,,,,,,,,,,,,
unidentified01255,Wien,,,,,,,,,,,,
unidentified01256,,,,,,,,,,,,,
unidentified01257,Dresden,,,,,,,,,,,,
unidentified01258,Wien,Stuttgart,,,,,,,,,,,
unidentified01259,Berlin,,,,,,,,,,,,
unidentified01260,Leipzig,,,,,,,,,,,,
unidentified01261,Bern,,,,,,,,,,,,
unidentified01262,Landau,,,,,,,,,,,,
unidentified01263,Halle,,,,,,,,,,,,
unidentified01264,Domnau,Hohenberg,,,,,,,,,,,
unidentified01265,Rom,Danzig,Erfurt,,,,,,,,,,
unidentified01266,Leipzig,,,,,,,,,,,,
unidentified01267,Wien,,,,,,,,,,,,
unidentified01268,Tilsit,,,,,,,,,,,,
unidentified01269,Wien,,,,,,,,,,,,
unidentified01270,Tilsit,,,,,,,,,,,,
unidentified01271,Tilsit,Dortmund,,,,,,,,,,,
unidentified01272,,,,,,,,,,,,,
unidentified01273,Rom,Steinau,Stein,Leipzig,,,,,,,,,
unidentified01274,Heidelberg,,,,,,,,,,,,
unidentified01275,,,,,,,,,,,,,
unidentified01276,Leipzig,,,,,,,,,,,,
unidentified01277,Danzig,,,,,,,,,,,,
unidentified01278,Aachen,,,,,,,,,,,,
unidentified01279,Berlin,,,,,,,,,,,,
unidentified01280,Leipzig,,,,,,,,,,,,
unidentified01281,,,,,,,,,,,,,
unidentified01282,Stuttgart,Kassel,,,,,,,,,,,
unidentified01283,Berlin,,,,,,,,,,,,
unidentified01284,Darmstadt,Köln,,,,,,,,,,,
unidentified01285,Prag,,,,,,,,,,,,
unidentified01286,Bamberg,,,,,,,,,,,,
unidentified01287,,,,,,,,,,,,,
unidentified01288,Greiz,Altenburg,Berlin,,,,,,,,,,
unidentified01289,,,,,,,,,,,,,
unidentified01290,,,,,,,,,,,,,
unidentified01291,München,,,,,,,,,,,,
unidentified01292,,,,,,,,,,,,,
unidentified01293,Stein,,,,,,,,,,,,
unidentified01294,,,,,,,,,,,,,
unidentified01295,Stein,,,,,,,,,,,,
unidentified01296,Breslau,,,,,,,,,,,,
unidentified01297,,,,,,,,,,,,,
unidentified01298,,,,,,,,,,,,,
unidentified01299,Wien,,,,,,,,,,,,
unidentified01300,Hanau,Wien,Forst,,,,,,,,,,
unidentified01301,Glauchau,,,,,,,,,,,,
unidentified01302,,,,,,,,,,,,,
unidentified01303,,,,,,,,,,,,,
unidentified01304,,,,,,,,,,,,,
unidentified01305,,,,,,,,,,,,,
unidentified01306,,,,,,,,,,,,,
unidentified01307,,,,,,,,,,,,,
unidentified01308,London,Bonn,,,,,,,,,,,
unidentified01309,Strassburg,,,,,,,,,,,,
unidentified01310,Gotha,,,,,,,,,,,,
unidentified01311,,,,,,,,,,,,,
unidentified01312,,,,,,,,,,,,,
unidentified01313,München,,,,,,,,,,,,
unidentified01314,Wien,,,,,,,,,,,,
unidentified01315,München,Rom,Dresden,Celle,Stuttgart,Paris,Hannover,Leipzig,Berlin,,,,
unidentified01316,Leipzig,,,,,,,,,,,,
unidentified01317,Augsburg,,,,,,,,,,,,
unidentified01318,Gera,,,,,,,,,,,,
unidentified01319,Hanau,,,,,,,,,,,,
unidentified01320,,,,,,,,,,,,,
unidentified01321,,,,,,,,,,,,,
unidentified01322,Rom,Siegen,,,,,,,,,,,
unidentified01323,,,,,,,,,,,,,
unidentified01324,Charlottenburg,Berlin,,,,,,,,,,,
unidentified01325,,,,,,,,,,,,,
unidentified01326,Hamburg,,,,,,,,,,,,
unidentified01327,Dresden,,,,,,,,,,,,
unidentified01328,Regensburg,,,,,,,,,,,,
unidentified01329,Leipzig,,,,,,,,,,,,
unidentified01330,Grünberg,Freiburg,London,Breslau,Paris,,,,,,,,
unidentified01331,Daber,Berlin,,,,,,,,,,,
unidentified01332,,,,,,,,,,,,,
unidentified01333,Paderborn,,,,,,,,,,,,
unidentified01334,Bonn,,,,,,,,,,,,
unidentified01335,Frankfurt am Main,,,,,,,,,,,,
unidentified01336,,,,,,,,,,,,,
unidentified01337,Luxemburg,Berlin,,,,,,,,,,,
unidentified01338,Düsseldorf,,,,,,,,,,,,
unidentified01339,Werne,Strassburg,Stuttgart,Köln,,,,,,,,,
unidentified01340,Thale,,,,,,,,,,,,
unidentified01341,Berlin,,,,,,,,,,,,
unidentified01342,,,,,,,,,,,,,
unidentified01343,Rom,Leipzig,,,,,,,,,,,
unidentified01344,Zürich,,,,,,,,,,,,
unidentified01345,Bern,,,,,,,,,,,,
unidentified01346,Zürich,,,,,,,,,,,,
unidentified01347,,,,,,,,,,,,,
unidentified01348,,,,,,,,,,,,,
unidentified01349,Dresden,Königsberg,Magdeburg,Breslau,Königshütte,Hamburg,Berlin,Bremen,,,,,
unidentified01350,Danzig,Berlin,,,,,,,,,,,
unidentified01351,Lauterbach,,,,,,,,,,,,
unidentified01352,Ortenburg,,,,,,,,,,,,
unidentified01353,Ratibor,Breslau,,,,,,,,,,,
unidentified01354,Magdeburg,,,,,,,,,,,,
unidentified01355,Dresden,Mulda,,,,,,,,,,,
unidentified01356,Prag,Wien,,,,,,,,,,,
unidentified01357,,,,,,,,,,,,,
unidentified01358,,,,,,,,,,,,,
unidentified01359,,,,,,,,,,,,,
unidentified01360,Rom,,,,,,,,,,,,
unidentified01361,Wien,Budapest,,,,,,,,,,,
unidentified01362,,,,,,,,,,,,,
unidentified01363,München,,,,,,,,,,,,
unidentified01364,Leipzig,,,,,,,,,,,,
unidentified01365,Stuttgart,,,,,,,,,,,,
unidentified01366,,,,,,,,,,,,,
unidentified01367,Detmold,,,,,,,,,,,,
unidentified01368,,,,,,,,,,,,,
unidentified01369,,,,,,,,,,,,,
unidentified01370,,,,,,,,,,,,,
unidentified01371,Breslau,,,,,,,,,,,,
unidentified01372,Bielefeld,Strassburg,Baden-Baden,Karlsruhe,,,,,,,,,
unidentified01373,,,,,,,,,,,,,
unidentified01374,,,,,,,,,,,,,
unidentified01375,,,,,,,,,,,,,
unidentified01376,,,,,,,,,,,,,
unidentified01377,Wien,,,,,,,,,,,,
unidentified01378,Wien,,,,,,,,,,,,
unidentified01379,Hamburg,,,,,,,,,,,,
unidentified01380,Berlin,,,,,,,,,,,,
unidentified01381,Düsseldorf,Darmstadt,,,,,,,,,,,
unidentified01382,Berlin,,,,,,,,,,,,
unidentified01383,Lindau,,,,,,,,,,,,
unidentified01384,Baden-Baden,,,,,,,,,,,,
unidentified01385,Moskau,,,,,,,,,,,,
unidentified01386,Langensalza,,,,,,,,,,,,
unidentified01387,Schwerin,Berlin,,,,,,,,,,,
unidentified01388,Hamburg,,,,,,,,,,,,
unidentified01389,,,,,,,,,,,,,
unidentified01390,Prag,Paris,,,,,,,,,,,
unidentified01391,Frankfurt am Main,,,,,,,,,,,,
unidentified01392,Rom,Strada,London,Berlin,,,,,,,,,
unidentified01393,Wien,,,,,,,,,,,,
unidentified01394,Stuttgart,Charlottenburg,Leipzig,,,,,,,,,,
unidentified01395,Gotha,,,,,,,,,,,,
unidentified01396,Berlin,,,,,,,,,,,,
unidentified01397,Schwerin,,,,,,,,,,,,
unidentified01398,Prag,,,,,,,,,,,,
unidentified01399,Köln,,,,,,,,,,,,
unidentified01400,Rom,Stuttgart,Leipzig,Berlin,,,,,,,,,
unidentified01401,Hamburg,,,,,,,,,,,,
unidentified01402,Wien,,,,,,,,,,,,
unidentified01403,Stein,Duisburg,,,,,,,,,,,
unidentified01404,Stein,Duisburg,,,,,,,,,,,
unidentified01405,Krosigk,Berlin,,,,,,,,,,,
unidentified01406,,,,,,,,,,,,,
unidentified01407,Dresden,,,,,,,,,,,,
unidentified01408,Mainz,Trier,,,,,,,,,,,
unidentified01409,Hamburg,,,,,,,,,,,,
unidentified01410,Bonn,Stettin,,,,,,,,,,,
unidentified01411,,,,,,,,,,,,,
unidentified01412,München,,,,,,,,,,,,
unidentified01413,Nürnberg,,,,,,,,,,,,
unidentified01414,,,,,,,,,,,,,
unidentified01415,München,,,,,,,,,,,,
unidentified01416,Nürnberg,,,,,,,,,,,,
unidentified01417,,,,,,,,,,,,,
unidentified01418,München,,,,,,,,,,,,
unidentified01419,Nürnberg,,,,,,,,,,,,
unidentified01420,Dresden,,,,,,,,,,,,
unidentified01421,Berlin,,,,,,,,,,,,
unidentified01422,Hagen,Berlin,,,,,,,,,,,
unidentified01423,Zürich,,,,,,,,,,,,
unidentified01424,Prag,,,,,,,,,,,,
unidentified01425,Regensburg,,,,,,,,,,,,
unidentified01426,Erfurt,,,,,,,,,,,,
unidentified01427,Bremen,,,,,,,,,,,,
unidentified01428,,,,,,,,,,,,,
unidentified01429,,,,,,,,,,,,,
unidentified01430,,,,,,,,,,,,,
unidentified01431,,,,,,,,,,,,,
unidentified01432,,,,,,,,,,,,,
unidentified01433,,,,,,,,,,,,,
unidentified01434,,,,,,,,,,,,,
unidentified01435,Thure,Halensee,Bromberg,Stettin,Berlin,,,,,,,,
unidentified01436,Hamburg,,,,,,,,,,,,
unidentified01437,Hamburg,,,,,,,,,,,,
unidentified01438,Frankfurt a. O.,Frankfurt a. O.,Drossen,New-York,Leipzig,Zürich,,,,,,,
unidentified01439,,,,,,,,,,,,,
unidentified01440,Leipzig,,,,,,,,,,,,
unidentified01441,,,,,,,,,,,,,
unidentified01442,Leipzig,,,,,,,,,,,,
unidentified01443,,,,,,,,,,,,,
unidentified01444,Hamburg,Leipzig,,,,,,,,,,,
unidentified01445,Erfurt,,,,,,,,,,,,
unidentified01446,Fels,,,,,,,,,,,,
unidentified01447,Glogau,Berlin,,,,,,,,,,,
unidentified01448,Wien,,,,,,,,,,,,
unidentified01449,Stuttgart,Basel,Kirchberg,Aachen,Berlin,,,,,,,,
unidentified01450,Zürich,,,,,,,,,,,,
unidentified01451,Breslau,,,,,,,,,,,,
unidentified01452,Zürich,,,,,,,,,,,,
unidentified01453,Breslau,,,,,,,,,,,,
unidentified01454,Charlottenburg,Berlin,,,,,,,,,,,
unidentified01455,Teplitz,,,,,,,,,,,,
unidentified01456,Stein,Leipzig,,,,,,,,,,,
unidentified01457,Bonn,Köln,,,,,,,,,,,
unidentified01458,,,,,,,,,,,,,
unidentified01459,Göttingen,Breslau,,,,,,,,,,,
unidentified01460,Rom,Eberswalde,,,,,,,,,,,
unidentified01461,,,,,,,,,,,,,
unidentified01462,Rom,Landau,Berlin,,,,,,,,,,
unidentified01463,Landau,Leipzig,,,,,,,,,,,
unidentified01464,Berlin,,,,,,,,,,,,
unidentified01465,Hannover,,,,,,,,,,,,
unidentified01466,,,,,,,,,,,,,
unidentified01467,Grünberg,Breslau,Berlin,,,,,,,,,,
unidentified01468,Landsberg,,,,,,,,,,,,
unidentified01469,Wien,,,,,,,,,,,,
unidentified01470,,,,,,,,,,,,,
unidentified01471,München,,,,,,,,,,,,
unidentified01472,Rathenow,Arnsberg,Liegnitz,Berlin,,,,,,,,,
unidentified01473,Rom,,,,,,,,,,,,
unidentified01474,Rom,,,,,,,,,,,,
unidentified01475,Rom,,,,,,,,,,,,
unidentified01476,Rom,,,,,,,,,,,,
unidentified01477,Düsseldorf,,,,,,,,,,,,
unidentified01478,Berlin,,,,,,,,,,,,
unidentified01479,Berlin,,,,,,,,,,,,
unidentified01480,Rom,Halle,Leipzig,,,,,,,,,,
unidentified01481,Leipzig,,,,,,,,,,,,
unidentified01482,Rom,Halle,Leipzig,,,,,,,,,,
unidentified01483,Leipzig,,,,,,,,,,,,
unidentified01484,Ohlau,Breslau,,,,,,,,,,,
unidentified01485,Berlin,,,,,,,,,,,,
unidentified01486,Charlottenburg,Berlin,,,,,,,,,,,
unidentified01487,Berlin,,,,,,,,,,,,
unidentified01488,Bern,Berlin,,,,,,,,,,,
unidentified01489,Wien,Leipzig,,,,,,,,,,,
unidentified01490,,,,,,,,,,,,,
unidentified01491,Berlin,,,,,,,,,,,,
unidentified01492,Frankfurt a. O.,Bern,Frankfurt a. O.,Leipzig,,,,,,,,,
unidentified01493,,,,,,,,,,,,,
unidentified01494,Wien,Stuttgart,Charlottenburg,Karlsruhe,Berlin,,,,,,,,
unidentified01495,Leipzig,,,,,,,,,,,,
unidentified01496,Augsburg,,,,,,,,,,,,
unidentified01497,Stuttgart,,,,,,,,,,,,
unidentified01498,Charlottenburg,,,,,,,,,,,,
unidentified01499,Wien,Berlin,,,,,,,,,,,
unidentified01500,Stuttgart,,,,,,,,,,,,
unidentified01501,Berlin,,,,,,,,,,,,
unidentified01502,Wien,,,,,,,,,,,,
unidentified01503,Rom,Losdorf,Salzburg,Gnesen,,,,,,,,,
unidentified01504,Rom,Neisse,Fehmarn,,,,,,,,,,
unidentified01505,Braunschweig,,,,,,,,,,,,
unidentified01506,Cassel,,,,,,,,,,,,
unidentified01507,Berlin,,,,,,,,,,,,
unidentified01508,,,,,,,,,,,,,
unidentified01509,Leipzig,,,,,,,,,,,,
unidentified01510,Leipzig,,,,,,,,,,,,
unidentified01511,Glogau,,,,,,,,,,,,
unidentified01512,Ulm,,,,,,,,,,,,
unidentified01513,Wien,Daber,,,,,,,,,,,
unidentified01514,,,,,,,,,,,,,
unidentified01515,Rom,Dresden,Königsberg,Saalfeld,Danzig,New-York,Berlin,,,,,,
unidentified01516,Weimar,,,,,,,,,,,,
unidentified01517,Dresden,,,,,,,,,,,,
unidentified01518,München,Würzburg,,,,,,,,,,,
unidentified01519,Dresden,Leipzig,,,,,,,,,,,
unidentified01520,Bremen,,,,,,,,,,,,
unidentified01521,Wernigerode,Rostock,,,,,,,,,,,
unidentified01522,,,,,,,,,,,,,
unidentified01523,Rom,Hamburg,,,,,,,,,,,
unidentified01524,Berlin,,,,,,,,,,,,
unidentified01525,Wien,Darmstadt,Berlin,,,,,,,,,,
unidentified01526,Erfurt,,,,,,,,,,,,
unidentified01527,Breslau,,,,,,,,,,,,
unidentified01528,Brüssel,,,,,,,,,,,,
unidentified01529,,,,,,,,,,,,,
unidentified01530,,,,,,,,,,,,,
unidentified01531,Berlin,,,,,,,,,,,,
unidentified01532,Moskau,,,,,,,,,,,,
unidentified01533,Stuttgart,,,,,,,,,,,,
unidentified01534,München,Stuttgart,Hamburg,Zürich,,,,,,,,,
unidentified01535,Berlin,,,,,,,,,,,,
unidentified01536,Rom,Gera,Guttentag,Berlin,,,,,,,,,
unidentified01537,Berlin,,,,,,,,,,,,
unidentified01538,,,,,,,,,,,,,
unidentified01539,Braunschweig,,,,,,,,,,,,
unidentified01540,Berlin,,,,,,,,,,,,
unidentified01541,Magdeburg,Trier,,,,,,,,,,,
unidentified01542,Leipzig,,,,,,,,,,,,
unidentified01543,Frankfurt a. d. Oder,Rom,Dresden,,,,,,,,,,
unidentified01544,Nikolsburg,Wien,,,,,,,,,,,
unidentified01545,Leipzig,,,,,,,,,,,,
unidentified01546,Stuttgart,,,,,,,,,,,,
unidentified01547,Berlin,,,,,,,,,,,,
unidentified01548,Rom,Leipzig,Berlin,,,,,,,,,,
unidentified01549,Leipzig,,,,,,,,,,,,
unidentified01550,,,,,,,,,,,,,
unidentified01551,Arnsberg,Bonn,,,,,,,,,,,
unidentified01552,Charlottenburg,Paris,Berlin,,,,,,,,,,
unidentified01553,Gütersloh,,,,,,,,,,,,
unidentified01554,,,,,,,,,,,,,
unidentified01555,Augsburg,,,,,,,,,,,,
unidentified01556,Zürich,,,,,,,,,,,,
unidentified01557,Augsburg,,,,,,,,,,,,
unidentified01558,Zürich,,,,,,,,,,,,
unidentified01559,,,,,,,,,,,,,
unidentified01560,Berlin,,,,,,,,,,,,
unidentified01561,Dresden,Lindau,Leipzig,,,,,,,,,,
unidentified01562,Lindau,Berlin,,,,,,,,,,,
unidentified01563,Neuruppin,Stein,,,,,,,,,,,
unidentified01564,München,,,,,,,,,,,,
unidentified01565,Gotha,,,,,,,,,,,,
unidentified01566,Fels,,,,,,,,,,,,
unidentified01567,Leipzig,,,,,,,,,,,,
unidentified01568,Altenburg,,,,,,,,,,,,
unidentified01569,Neuwied,,,,,,,,,,,,
unidentified01570,Porto,,,,,,,,,,,,
unidentified01571,Augsburg,,,,,,,,,,,,
unidentified01572,Klagenfurt,,,,,,,,,,,,
unidentified01573,,,,,,,,,,,,,
unidentified01574,Bern,Detmold,,,,,,,,,,,
unidentified01575,Göttingen,,,,,,,,,,,,
unidentified01576,Bonn,,,,,,,,,,,,
unidentified01577,,,,,,,,,,,,,
unidentified01578,Rom,Schlawe,Tilsit,Berlin,,,,,,,,,
unidentified01579,Hamburg,,,,,,,,,,,,
unidentified01580,Berlin,,,,,,,,,,,,
unidentified01581,Wien,,,,,,,,,,,,
unidentified01582,Stein,Breslau,,,,,,,,,,,
unidentified01583,Strassburg,Graudenz,,,,,,,,,,,
unidentified01584,Berlin,,,,,,,,,,,,
unidentified01585,Berlin,,,,,,,,,,,,
unidentified01586,Ulm,,,,,,,,,,,,
unidentified01587,Reutlingen,,,,,,,,,,,,
unidentified01588,,,,,,,,,,,,,
unidentified01589,,,,,,,,,,,,,
unidentified01590,Berlin,,,,,,,,,,,,
unidentified01591,Ulm,,,,,,,,,,,,
unidentified01592,Leipzig,,,,,,,,,,,,
unidentified01593,Trier,,,,,,,,,,,,
unidentified01594,,,,,,,,,,,,,
unidentified01595,,,,,,,,,,,,,
unidentified01596,Leipzig,,,,,,,,,,,,
unidentified01597,Paris,,,,,,,,,,,,
unidentified01598,Leipzig,,,,,,,,,,,,
unidentified01599,Dresden,,,,,,,,,,,,
unidentified01600,Schleswig,,,,,,,,,,,,
unidentified01601,Leipzig,,,,,,,,,,,,
unidentified01602,Frankfurt a. M.,Frankfurt a. M.,,,,,,,,,,,
unidentified01603,Paderborn,,,,,,,,,,,,
unidentified01604,Rom,Strassburg,,,,,,,,,,,
unidentified01605,Altenburg,,,,,,,,,,,,
unidentified01606,Wien,Leipzig,,,,,,,,,,,
unidentified01607,Altenburg,,,,,,,,,,,,
unidentified01608,Wien,Leipzig,,,,,,,,,,,
unidentified01609,Dresden,,,,,,,,,,,,
unidentified01610,München,,,,,,,,,,,,
unidentified01611,,,,,,,,,,,,,
unidentified01612,Rom,Berlin,,,,,,,,,,,
unidentified01613,,,,,,,,,,,,,
unidentified01614,,,,,,,,,,,,,
unidentified01615,,,,,,,,,,,,,
unidentified01616,Breslau,,,,,,,,,,,,
unidentified01617,Pressburg,Leipzig,,,,,,,,,,,
unidentified01618,Grimma,Leipzig,Schneeberg,,,,,,,,,,
