Magdeburg,2874545
Wernigerode,2810808
Amstetten,2782555
Frankfurt a. O.,2925533
Reisach,3333752
Gleiwitz,3099230
Eisenach,2931574
Schildberg,2839297
Maulbronn,2872777
Liebenau,2772522
Walsrode,2814462
Tegernsee,2823679
Grossgartach,2915617
Nizza,2990440
Sprottau,3083631
Höhr,2900825
Naumburg,2866906
Liestal,2659891
Goschütz,3094165
Frankenhausen,2953459
Hadamar,2912829
Marienbad,3071024
Tondern,6167610
Wildenfels,6551126
Niederbreisig,2863575
Riesa,2846939
Köpenick,2885656
Stockholm,2673730
Schlettau,2838628
Gross-Lichterfelde,2878018
Neisse,2866578
Bielefeld,2949186
Landsberg,2881509
Prag,3067696
Gandersheim,2953456
Hohnstein,6550820
Brüx,3070291
Thure,2972651
Niederösch,7286647
Herford,2906121
Limmer,6030023
Genua,3176219
Friedrichshafen,2924585
Ludwigslust,2875343
Hamm,2911240
Perleberg,6550650
Bad Homburg,2953436
Gaudenzdorf,NaN
Waltershausen,2814392
Elmshorn,2930821
Grabow,771565
Karlskrona,2701713
Halbleinw,NaN
Mackenzell,2874604
Petersburg,498817
Zweiern,12003166
Wasserburg am Bodensee,2813756
Kleinseite,3071213
Haardt,2913137
Karasu,1523155
Bregenz,2781503
Neu-Brandenburg,2863786
Schwaz,2765389
Augsburg,2954172
Bramstedt,2953537
Nottingham,2641170
Büdingen,2942073
Neunkirchen,2864435
Oppeln,3090048
Losdorf,2772264
Reichenberg,3071961
Durben,460171
Linz a. d. Donau,NaN
New-Haven,4839366
Ampfurt,NaN
Kössen,2823871
Stargardt,3084841
Crefeld,2884509
Sandow,6624736
Werne,2810833
Tilsit,490068
Kochem,2286932
Bremerlohe,NaN
Leyden,2751773
Kopenhagen,2618425
Köslin,3095049
Hainholz,2911801
Schloss Welda,NaN
Landshut,2881485
Tarnow,757026
Cöln a. Rh.,NaN
Grimsby,2647878
Belgard,3033685
Plagwitz,2879130
Tabarz,2824437
Hirschau,2903806
Wilhelmshöhe,2892506
Husum,2897132
Honor Oak Road,NaN
Crimmitschau,2939747
Anklam,2956018
Ortenburg,2857011
Soest,2747034
Detmold,2937936
Kynast,3065591
Innthal,2895931
Eberswalde,2933882
Nordeck,3355093
Warnsdorf,3063375
Güstrow,2913433
Rüdesheim am Rhein,2843395
Blumenthal an der Weser,NaN
Beckenried,2661585
Rhena,2983990
Pressburg,3060972
St. Gallen,2658822
Coswig,2939819
Elbingerode,2931245
Nonnenweier,2862182
Neunhausen,2960234
Diez,6956648
Waldhausen,2762012
Obscherninken,NaN
Donauwörth,2936253
Totis,3044083
Spremberg,7602483
Tannenrode,NaN
Mosbach,2869120
Waltersdorf,6550421
Cleveland,5150529
Seeberg,2658655
Neu-Mecklenburg,2864679
Dortmund,2935517
Melle,2791385
Rosenheim,2844988
Villa Ruhleben,NaN
Ronsdorf,2845211
Waldeck,6627714
Schloss Mirabell,6956635
Altstrelitz,2825922
Reinsberg,2848737
Niederlössnitz,2863147
Heidelberg,2907911
Wörlitz,2806162
Wandsbeck,940494
Athen,264371
Posens,NaN
Saalfeld,2842688
Upsala,2666199
Höckendorf,6548706
Thale,6550950
Canfield Gardens,8062599
Taufers,3165124
Chemnitz,2940132
Kleeburg,2939991
Marienwerder,2873464
Leipa,3077929
Ellrichshausen,2930897
Stein,6626004
Stollberg,2826584
Schnepfenthal,2837323
Neuschloss,2864225
St. Louis,4407066
S. Terenzo,11126584
Schillingsfürst,2839212
Reudnitz,2847926
Salzbrunn,3083835
Tuchel,327302
Züllsdorf,2803729
Pankow,2855598
Kaibitz,2894095
Hattingen,2909230
Itzehoe,2895569
Herzberg,2905504
Neu Ulm,2863941
Grumbach,2914533
Eutin,2928381
Manicomio di S. Bonifacio,NaN
Verden,2817599
Dobřisch,NaN
Clemenswerth,3208419
Riedenburg,2847231
Paderborn,2855745
Weiherhammer,2812752
Potschappel,2925016
Iena,2895044
Bad Kissingen,2953424
Währing Schopenhauerstr,NaN
Schloss Osterstein,NaN
Strassburg,2973783
Nikolsburg,3070720
Lenzburg,2659952
Männedorf,2659772
Amsterdam,2759794
Tressow,2821266
Ursulerinnenkloster,NaN
Gute Schönburg,NaN
Gröbitz,6547471
Senftenberg,6550632
Lössnitz,2875799
Schaffhausen,2658761
Iedlersdorf,NaN
Mannheim,2873891
Rosenberg,4723914
Spandau,7290252
Ilsenburg,2896483
Erlenthal,NaN
Hornsmühlen,2898772
Wiesbaden,2809346
Malchin,6619166
Epinal,3020035
Triest,3165185
Freyburg a. U.,NaN
