Name	GND
Alten Hedwig	116293403
Altena Karl Ernst	https://d-nb.info/gnd/116299517	https://d-nb.info/gnd/134296818
Altenberg Peter	https://d-nb.info/gnd/118502255	https://d-nb.info/gnd/1023502046	https://d-nb.info/gnd/1024300188
Altenbernd L	11647744X
Alter vom Berge	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Althaber Wilhelmine	116294051
Althaus Karl Hermann	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Althaus Theodor	116982993
Altherr Alfred	https://d-nb.info/gnd/138592462	https://d-nb.info/gnd/1136890238
Althof Paul	https://d-nb.info/gnd/1164385046	https://d-nb.info/gnd/116299525
Altkirch Ernst	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Altmann Karl Friedrich	116295058
Altmann Wilhelm	https://d-nb.info/gnd/1034663127	https://d-nb.info/gnd/124306829
Altmüller Karl	https://d-nb.info/gnd/116295341	https://d-nb.info/gnd/122312562
d’Altona Heinrich	kein Eintrag von api gefunden
Altrichter Karl Friedrich	130640379
Altschul Jakob	1055320474
Altschul Jgnaz	kein Eintrag von api gefunden
Altvater Paul	1035626594
Altwasser Theodor	https://d-nb.info/gnd/1050402693	https://d-nb.info/gnd/1035626845
Alvensleben Karl Ludwig Friedr. Wilh. Gustav	113666691
Aly Eduard	101220561
Amadei Anna	116296496
Amalie Eleonore Sophie Karoline	101146345
Amas Hermann	123513863
Amberg Berthold	https://d-nb.info/gnd/1025758374	https://d-nb.info/gnd/119632276	https://d-nb.info/gnd/104793708
Ambrosius Johanna	https://d-nb.info/gnd/119223546	https://d-nb.info/gnd/1176583417	https://d-nb.info/gnd/117291196
Amelang Gustav	117762423
Amelang Theodor	1035632136
am Ende Ernst	126087482
am Ende Christian Gottlob Ernst	126087482
Amerlan Albert	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Amerlan Frieda	126307024
Am-Herd Paul	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Aemilius Theodor	https://d-nb.info/gnd/130119113	https://d-nb.info/gnd/1031172483	https://d-nb.info/gnd/118059599
Amlacher Albert	1049274466
Ammann August	https://d-nb.info/gnd/116298944	https://d-nb.info/gnd/1313066370	https://d-nb.info/gnd/11612394X
Ammann Heinrich	1012256510
Ammer Theodor	https://d-nb.info/gnd/1098353234	https://d-nb.info/gnd/116078871
Amor G	1255851805
Amschl Alfred	118157043
Amster Moritz	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Amyntor Gerhard	116302712
Anderegg Felix	127259066
Ander Linth	117768928
Anders Fritz	1164503693
Anders Ernst Ludwig Theodor	173048552
Anders N. J	118014102
Anders Paul	https://d-nb.info/gnd/1073354393	https://d-nb.info/gnd/1235108333	https://d-nb.info/gnd/1073440842	https://d-nb.info/gnd/1145971962	https://d-nb.info/gnd/126180911	https://d-nb.info/gnd/170401987	https://d-nb.info/gnd/1146449291
Anderten Eta	1055098763
Andolt Ernst	116001089
Andrae-Romanek M	117454397
André Hugo	116452382
André Viktor	https://d-nb.info/gnd/1049178785	https://d-nb.info/gnd/128516364
Andrea Antonia	https://d-nb.info/gnd/117721379	https://d-nb.info/gnd/1089439202
Andrea Silvia	117763519
Andreae Frieda	116309202
Andreae Katy	https://d-nb.info/gnd/1029442797	https://d-nb.info/gnd/1037270193
Andreae Percy	116309407
Andreä Johann Georg Friedrich Wilhelm	142312835
Andreas Alexander	117284416
Andreas-Salomé Lou	118502921
Andrejanoff Viktor	116012986
Andres Karl	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Andresen Jngeborg	kein Eintrag von api gefunden
Andresen Stine	11887912X
Andrießen Gustav	116310162
Androclus	kein Eintrag von api gefunden
Angelstern Wilhelm	116880155
Angely M	105511954X
Angely-Geyer Rudolf	116311142
Angenetter August	117762679
Anger Siegfried	116311290
Angerstein Wilhelm Emil	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Anhäuser Wilhelm	117762903
Anhuth Klara	kein Eintrag von api gefunden
Annas Wilhelm Ernst	122085434
Anneke Mathilde	https://d-nb.info/gnd/118503200	https://d-nb.info/gnd/1137346590
Anno Anton	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Annuske Elise	kein Eintrag von api gefunden
Anschütz Roderich	116312416
Ansion-Hasatty	117764167
Aenstoots Stanislaus	116009233
Anthes Otto	https://d-nb.info/gnd/116312750	https://d-nb.info/gnd/1196657866
Anthony Wilhelm	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Anthus Antonino	107023933X
Anton Helene	https://d-nb.info/gnd/116684208	https://d-nb.info/gnd/116155809	https://d-nb.info/gnd/1083809571	https://d-nb.info/gnd/1025368649
Anzengruber Johann	https://d-nb.info/gnd/131924346	https://d-nb.info/gnd/14047076X
Anzengruber Ludwig	https://d-nb.info/gnd/11850357X	https://d-nb.info/gnd/102127285X	https://d-nb.info/gnd/131924346
Anzoletti Patritius	kein Eintrag von api gefunden
Apel Guido Theodor	116016809
Apel Paul	https://d-nb.info/gnd/116315903	https://d-nb.info/gnd/116556986	https://d-nb.info/gnd/116315970
Apelt Franz Ulrich	117763063
Apelt Hans Willibald	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Apitz Hermann Edwin	1035713098
Appel Karl	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Appelt Wilhelm	1035714108
Appen Karl August	kein Eintrag von api gefunden
Aeppli Emil	1163111376
Aram Kurt	104086424
Arand Charlotte	118604570
Arbter Emma Wanda	116317442
Aren F. M	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Aren N	1035732610
Arenberg Sophie Karoline	1035733323
Arend C. W	1048693341
Arends Leopold Alexander Friedrich	116518006
Arendt Olga	138677360
Arendt Wilhelm	https://d-nb.info/gnd/142057274	https://d-nb.info/gnd/1053405081	https://d-nb.info/gnd/1035736039	https://d-nb.info/gnd/116199059
Arens Bernard	132255111
Arens Auguste	1036654591
Arentsschildt Louis	1036099105
Ariosto Helvetico Messer Ludovico	118632302
Armand	1075777593
Armand Carl	1055461108
Armin	1036102998
Arming Friedrich Wilhelm	116199350
Arminius Wilhelm	https://d-nb.info/gnd/116341432	https://d-nb.info/gnd/120214156	https://d-nb.info/gnd/1036385302	https://d-nb.info/gnd/104303476
Armstrong B. L	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Arnd Karl Eduard	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Arndt Amalie Katharine Luise	kein Eintrag von api gefunden
Arndt Bruno	https://d-nb.info/gnd/116342552	https://d-nb.info/gnd/174055757
Arndt Fanny	116342692
Arndt Ferdinand Valentin	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Arndt Richard	https://d-nb.info/gnd/1145926207	https://d-nb.info/gnd/1050403258
Arndts Bertha	https://d-nb.info/gnd/116344407	https://d-nb.info/gnd/116729546	https://d-nb.info/gnd/100416993	https://d-nb.info/gnd/118522213
Arndts Maria	https://d-nb.info/gnd/116344407	https://d-nb.info/gnd/116729546	https://d-nb.info/gnd/100416993	https://d-nb.info/gnd/118522213
Arnefeldt Fritz	kein Eintrag von api gefunden
Arnemann Alfred	1033719889
Arnet Thaddäus	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Arnim Gisela	https://d-nb.info/gnd/11907074X	https://d-nb.info/gnd/116613351	https://d-nb.info/gnd/118504185	https://d-nb.info/gnd/118504177	https://d-nb.info/gnd/116648910
Arnim Karoline	https://d-nb.info/gnd/1023379422	https://d-nb.info/gnd/1043618732	https://d-nb.info/gnd/1023380919	https://d-nb.info/gnd/116345721
Arnim-Fredenwalde Eva	1045407127
