Name	GND
Barsch Hedwig	https://d-nb.info/gnd/117767387	https://d-nb.info/gnd/116062150
Bartels Auguste	kein Eintrag von api gefunden
Bartels Elvira	kein Eintrag von api gefunden
Bartels Wanda	https://d-nb.info/gnd/116062819	https://d-nb.info/gnd/116062657
Bartenheim Auguste	kein Eintrag von api gefunden
Bartenstein Karoline	https://d-nb.info/gnd/117767441	https://d-nb.info/gnd/117456896
Barth S	https://d-nb.info/gnd/139035702	https://d-nb.info/gnd/1041850638	https://d-nb.info/gnd/12813254X
Barthels Emilie	kein Eintrag von api gefunden
Barthmann Sophie	kein Eintrag von api gefunden
Bartuneck Aloisia	kein Eintrag von api gefunden
Baruch N	https://d-nb.info/gnd/1159140847	https://d-nb.info/gnd/170125386	https://d-nb.info/gnd/170196852	https://d-nb.info/gnd/170735788	https://d-nb.info/gnd/119273748	https://d-nb.info/gnd/5263017-1	https://d-nb.info/gnd/170074838	https://d-nb.info/gnd/1121112196
Bastian Hella M	127405887
Bauck Anna	https://d-nb.info/gnd/117768723	https://d-nb.info/gnd/117768715
Bauck Elisabeth	https://d-nb.info/gnd/117768715	https://d-nb.info/gnd/1029526206
Baud Marie Philippertine	kein Eintrag von api gefunden
Baudissin Eva	https://d-nb.info/gnd/116083301	https://d-nb.info/gnd/117768774	https://d-nb.info/gnd/127643613
Baudissin Sophie	https://d-nb.info/gnd/116083441	https://d-nb.info/gnd/1226184316	https://d-nb.info/gnd/118507206	https://d-nb.info/gnd/12989432X	https://d-nb.info/gnd/118607960
Baudissin Thekla	116083468
Bauer Anna	https://d-nb.info/gnd/1207571261	https://d-nb.info/gnd/116083964	https://d-nb.info/gnd/132588013
Bauer Charlotte	https://d-nb.info/gnd/1207775800	https://d-nb.info/gnd/1012414973
Bauer Emma	11895783X
Bauer Heribert	https://d-nb.info/gnd/12027194X	https://d-nb.info/gnd/1064690165
Bauer Karolina	123196531
Bauer Karoline	https://d-nb.info/gnd/1208030426	https://d-nb.info/gnd/1208030833	https://d-nb.info/gnd/118657585	https://d-nb.info/gnd/1208029924	https://d-nb.info/gnd/1208255940	https://d-nb.info/gnd/1226814670
Bauer Marie	https://d-nb.info/gnd/1012175197	https://d-nb.info/gnd/1208248588	https://d-nb.info/gnd/1208256270	https://d-nb.info/gnd/1208249878	https://d-nb.info/gnd/1207579882
Bauer Martin	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Baum Elisabeth	https://d-nb.info/gnd/1013753909	https://d-nb.info/gnd/122770268X
Baum Mathilde	152275045
Baumann Karoline	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Baumann Marla	1029760942
Bawr 	https://d-nb.info/gnd/116096691	https://d-nb.info/gnd/11723480X
Baxter L	https://d-nb.info/gnd/170601757	https://d-nb.info/gnd/171968743	https://d-nb.info/gnd/1147167087	https://d-nb.info/gnd/170069532
Bayer Marianne	117767697
Bayer Ottilie	https://d-nb.info/gnd/117767662	https://d-nb.info/gnd/1166200523	https://d-nb.info/gnd/1207114227
Bayer Th	https://d-nb.info/gnd/126181705	https://d-nb.info/gnd/1113302615	https://d-nb.info/gnd/116097264	https://d-nb.info/gnd/1255681179
Beaulieu Gertraut	11609835X
Becher Elisab	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Bechler Anna	116099852
Becher Emmy Gohlis	kein Eintrag von api gefunden
Becher F	https://d-nb.info/gnd/1073468585	https://d-nb.info/gnd/123354765
Bechlin L	kein Eintrag von api gefunden
Beck Elise	https://d-nb.info/gnd/116100818	https://d-nb.info/gnd/1014209161	https://d-nb.info/gnd/1209974991
Beck F	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Beck Marie	https://d-nb.info/gnd/1012175839	https://d-nb.info/gnd/1212884973	https://d-nb.info/gnd/105265147X	https://d-nb.info/gnd/1212687299
Beck 	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Beckendorff Elisabeth	kein Eintrag von api gefunden
Beckendorff Marie	kein Eintrag von api gefunden
Becker Adeline	kein Eintrag von api gefunden
Becker Elise	https://d-nb.info/gnd/1014209161	https://d-nb.info/gnd/1038079365
Becker Johanna	https://d-nb.info/gnd/121450228	https://d-nb.info/gnd/1163842672
Becker Käthe	https://d-nb.info/gnd/117769126	https://d-nb.info/gnd/116104317	https://d-nb.info/gnd/116107367
Bedenk Kath	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Beeg Gunda	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Beeg Marie	116107324
Beeg Mathilde	133249107
Beglarian 	https://d-nb.info/gnd/1089851480	https://d-nb.info/gnd/1072434237	https://d-nb.info/gnd/16328290-0
Béguelin Franziska	118068032
Behne M	https://d-nb.info/gnd/1219239097	https://d-nb.info/gnd/1167704010
Behnisch Anna	https://d-nb.info/gnd/1104399067	https://d-nb.info/gnd/116053879	https://d-nb.info/gnd/173167314
Behr Hedwig	1080274626
Behr Julia	1111917787
Behr Sophie	https://d-nb.info/gnd/116111445	https://d-nb.info/gnd/117337776X	https://d-nb.info/gnd/1263219047	https://d-nb.info/gnd/118623249
Behrends-Wirth Rosa	kein Eintrag von api gefunden
Behrendt Klara	kein Eintrag von api gefunden
