"QUOTE_TRANSCRIPTION","URI","VOCAB_LABEL","Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kölner Buchhandlung","http://sws.geonames.org/2886242","Untitled|Ara Ubiorum/Col. Claudia Ara Agrippinensium|Bahnhof Gereon, Köln|Braunsfeld, Köln|Col. Claudia Ara Agrippinensium/Ara Ubiorum, Köln|Barbarossaplatz, Köln|Grüner Pütz, Eifelwasserleitung|Pantaleonsberg, Köln|Köln","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huckarde","","","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eberswalde","http://sws.geonames.org/2933882","Eberswalde","Sonstiges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aimée Duc","","","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BerlinCharlot","http://sws.geonames.org/2940187","Charlottenburg","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Genua","http://pleiades.stoa.org/places/383664","Genua|Genua, Genova","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dresden","http://sws.geonames.org/2935022","Dresden","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kairo","http://geo-kima.org/place/665","Cairo (Egypt)","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nordhausen","http://sws.geonames.org/2861982","Nordhausen","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jena","http://sws.geonames.org/2895044","Jena","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weimar","http://sws.geonames.org/2812482","Weimar","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moskau","http://sws.geonames.org/524894","Moscow","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Karlsruhe","http://pleiades.stoa.org/places/109075","Karlsruhe|Grünwinkel, Karlsruhe|Karlsruhe","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kassel","http://sws.geonames.org/2892518","Kassel","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thalysia","","","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amschelberg","http://sws.geonames.org/3073178","Kosova Hora","Sonstiges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Böhmen","http://geo-kima.org/place/13835","Bohemia (Země)","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Padua","http://pleiades.stoa.org/places/393473","Patavium|Patavium, Padova|Padova","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arnaldo Fusi","","","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eibenschütz","http://sws.geonames.org/3074615","Ivančice","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Karlsbad","http://sws.geonames.org/3073803","Karlovy Vary","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ganz kleinen sächsischen Bühnen","http://sws.geonames.org/2842566","Saxony","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riga","http://sws.geonames.org/456172","Riga","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stadttheater","","","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Breslau","http://sws.geonames.org/5124497","Lindenhurst","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SchillerTheater","","","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Döbeln","http://sws.geonames.org/2936658","Döbeln","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meißen","http://sws.geonames.org/2872155","Meissen","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franzensbad","http://sws.geonames.org/3076136","Františkovy Lázně","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Habern","http://sws.geonames.org/3076053","Habry","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jglau","http://sws.geonames.org/3074199","Jihlava","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jglau u. Prag","","","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ratibor","http://sws.geonames.org/3087584","Racibórz","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schlesien","http://geo-kima.org/place/8146","Silesia (Germany)","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brieg","http://geo-kima.org/place/11540","Brieg (Germany)","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hirschberg","http://sws.geonames.org/3097257","Jelenia Góra","Sonstiges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dres","http://sws.geonames.org/2935022","Dresden","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Militsch","http://sws.geonames.org/3091788","Milicz","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baden","http://sws.geonames.org/3035459","Baden","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Durlach","http://dare.ht.lu.se/places/19510","Durlach","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BadenBaden","http://sws.geonames.org/2953504","Aquae|Aquae/civitas Aurelia Aquensis, Baden-Baden|Baden-Baden","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zürich","http://dare.ht.lu.se/places/38613","Zürich","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Genf","http://sws.geonames.org/2660646","Colline Saint-Pierre, Genève|Genava|Genava, Genève|Genève","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vevey","http://sws.geonames.org/2658145","Vivisco|Viviscus/Vivisco/Vibisco, Vevey|Vevey","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"brunn","http://sws.geonames.org/2781317","Brunn an der Wild","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heide","http://sws.geonames.org/2908032","Heide","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ravensberg","http://geo-kima.org/place/15421","Ravensberg (Grafschaft)","Sonstiges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stackelberg","","","Sonstiges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tiegnitz","","","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pernau","http://sws.geonames.org/589580","Pärnu","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Livland","http://geo-kima.org/place/9337","Livonia","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kurland","http://geo-kima.org/place/13350","Courland (Duchy)","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dorpat","http://sws.geonames.org/588335","Tartu","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spree","http://sws.geonames.org/2923588","Fürstenwalde","Stadt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
