QUOTE_TRANSCRIPTION,URI,VOCAB_LABEL
Long,http://maps.cga.harvard.edu/tgaz/placename/hvd_22164,Long
Long- grove,http://sws.geonames.org/4900416,Long Grove
Waukegan,http://sws.geonames.org/4915734,Waukegan
Oldes,http://sws.geonames.org/2953385,Bad Oldesloe
Sülfeld,http://sws.geonames.org/2824907,Sülfeld
Oldesloe,http://geo-kima.org/place/10726,Bad Oldesloe (Germany)
Potsdam,http://sws.geonames.org/2852458,Potsdam
Maria-Anna,http://sws.geonames.org/4146082,Anna Maria
Pen,http://sws.geonames.org/1259931,Pen
Joachimsthal,http://sws.geonames.org/3074587,Jáchymov
Tissau,,
Altrohlau,,
Karlsbad,http://histogis.acdh.oeaw.ac.at/shapes/permalink/4451135fe441639bd7399059649dd533/,Karlsbad
Landshut,http://sws.geonames.org/2881485,Landshut
Niederbayern,http://geo-kima.org/place/11103,Niederbayern (Germany)
Frank- reich,http://sws.geonames.org/3017382,France
Pferrsee,,
Augsburg,http://pleiades.stoa.org/places/118580,"Augusta Vindelicum/Aelia Augusta|Augusta Vindelicum/Aelia Augusta, Augsburg|Augsburg"
Pilsting,http://sws.geonames.org/2853691,Pilsting
Klosterrohr,,
Langquaid,http://sws.geonames.org/2880597,Langquaid
Glatz,http://sws.geonames.org/3096053,Kłodzko
Schle,,
Jnsel Usedom,http://sws.geonames.org/2818107,Usedom
Schlesien,,
Ulm,http://dare.ht.lu.se/places/44257,Ulm|Ulm
Mainz,http://pleiades.stoa.org/places/110239,"Unnamed Roman bridge at Mainz|Untitled|Römersteine, Mainz|Mogontiacum|Mogontiacum, Mainz|Römisches Theater, Mainz|Sanctuary of Isis and Magna Mater|Heiligtum der Isis und Mater Magna, Mainz|Römerbrücke, Mainz|Drususstein, Mainz|Mainz"
Halle,http://sws.geonames.org/2911522,Halle (Saale)
Freiburg,http://sws.geonames.org/2925177,Freiburg
Basel,http://sws.geonames.org/2661602,Basel-City
Huchenfeld,,
Eutingen,http://sws.geonames.org/2928379,Eutingen
Pforzheim,http://pleiades.stoa.org/places/118912,"*Portus|*Portus, Pforzheim|Pforzheim"
Kleinkems,http://dare.ht.lu.se/places/45427,Kleinkems
Buggingen,http://sws.geonames.org/2942017,Buggingen
Lahr,http://sws.geonames.org/2881885,Lahr
Ding- lingen,http://sws.geonames.org/2936977,Dillingen
Nürnberg,http://sws.geonames.org/2861650,Nürnberg
Sargans,http://sws.geonames.org/2658793,"Malerva, Sargans|Sargans"
französ. Schweiz,,
Lachen,http://sws.geonames.org/2660075,Lachen
Progymna,,
Biel,http://sws.geonames.org/2661513,Biel/Bienne
Frain,,
Eggebrechtsmühle,,
Westpreußens,,
Ber- lin,http://sws.geonames.org/2950157,Berlin
Görlitz,http://sws.geonames.org/2918987,Görlitz
Ahrensböck,http://sws.geonames.org/2959084,Ahrensbök
Neumünster,http://sws.geonames.org/2864475,Neumünster
Uetersen,http://sws.geonames.org/2818067,Uetersen
Chri,,
Serach,,
Eßlingen,,
Wildbad,http://sws.geonames.org/2809025,Bad Wildbad
Aschaffenburg,http://dare.ht.lu.se/places/889,Aschaffenburg|Aschaffenburg
Godesberg,http://geo-kima.org/place/8592,"Bad Godesberg (Bonn, Germany)"
Mannheim,http://sws.geonames.org/2873891,Mannheim
Wattmannshagen -LRB- Meck,http://sws.geonames.org/2813624,Wattmannshagen
Gehlsdorf,,
Küsnacht,http://sws.geonames.org/2660089,Küsnacht
Zürichsee,http://geo-kima.org/place/3700,"Zurich, Lake of (Switzerland)"
Amerika,,
Forst,http://sws.geonames.org/2925832,Forst
Schloß Wittgenstein,,
Laasphe,http://sws.geonames.org/2882091,Bad Laasphe
Westfalen,http://geo-kima.org/place/17092,Westphalia (Duchy)
Dobrisch,http://sws.geonames.org/3077024,Dobříš
Böh,,
Dobrisch,,
Goslar,http://sws.geonames.org/2918840,Goslar
a. d. Saale,http://sws.geonames.org/2842720,Saal an der Saale
Dingelstedt,http://sws.geonames.org/2936933,Dingelstädt
Weißenfels,http://pleiades.stoa.org/places/119044,Weissenfels|Weißenfels
Athenstedt,,
Halberstadt,http://sws.geonames.org/2911665,Halberstadt
Mühlhausen,http://sws.geonames.org/2867996,Mühlhausen
Geislingen,http://pleiades.stoa.org/places/118690,"Geislingen|Häsenbühl, Geislingen|Geislingen"
Württem,,
La,http://pleiades.stoa.org/places/570417,"La(s)|Las/La, Passavas, Diro"
Abtsgmünd,http://sws.geonames.org/2959766,Abtsgmünd
Aalen,http://dare.ht.lu.se/places/40965,Aalen
Stutt- gart,http://sws.geonames.org/2825297,Stuttgart
Lorch,http://pleiades.stoa.org/places/118814,Lorch|Lorch|Lorch
Rechtenfleth,,
Bre- men,http://sws.geonames.org/2944388,Bremen
Dörnberg,http://sws.geonames.org/2935749,Dörnberg
Weser,http://pleiades.stoa.org/places/99060,"Visurgis (river)|Visurgis, Weser"
Elektra,http://pleiades.stoa.org/places/570215,Elektra (river)
Niederösterreich,http://sws.geonames.org/2770542,Lower Austria
Waldviertel,http://geo-kima.org/place/3685,Waldviertel (Austria)
Weidhofen,http://histogis.acdh.oeaw.ac.at/shapes/permalink/52904669dba3c435375456b806e8f515/,Waidhofen an der Thaya
Felds- berg,http://sws.geonames.org/3063409,Valtice
Mödling,http://sws.geonames.org/2771335,Mödling
Krems,http://sws.geonames.org/2773549,Krems an der Donau
Allweg,,
Graudenz,http://sws.geonames.org/3098218,Grudziądz
Charlottenburg,http://sws.geonames.org/2940187,Charlottenburg
Berlins,http://sws.geonames.org/2950157,Berlin
Charlotten,http://sws.geonames.org/2940187,Charlottenburg
Wickenburg-Almasy,,
Alpenburg,,
Grünburg,http://sws.geonames.org/2762908,Grünburg
Jnns,http://sws.geonames.org/2775220,Innsbruck
Büchsenhausen,,
Jnnsbruck,http://sws.geonames.org/2775220,Innsbruck
Harburg,http://sws.geonames.org/2910685,Harburg
Göttingen,http://sws.geonames.org/2918632,Göttingen
Neuyork,http://sws.geonames.org/5128581,New York City
Her- mannstadt,http://sws.geonames.org/667267,Sibiu
Hermannstadt,http://sws.geonames.org/667267,Sibiu
Ungarns,,
Temesvár,http://geo-kima.org/place/12970,Timisoara (Romania)
Lich,http://sws.geonames.org/2878166,Lich
Alsfeld,http://sws.geonames.org/2958128,Alsfeld
Altburg,http://pleiades.stoa.org/places/108836,Bundenbach-Altburg|Altburg
Alt-Damerow,http://sws.geonames.org/3084965,Stara Dąbrowa
Harzburg,http://geo-kima.org/place/10781,Bad Harzburg (Germany)
Altena,http://sws.geonames.org/2957886,Altena
Altenberg,http://sws.geonames.org/2782700,Altenberg bei Linz
Augustdorf,http://sws.geonames.org/2954164,Augustdorf
Detmold,http://sws.geonames.org/2937936,Detmold
Greifswald,http://sws.geonames.org/2917788,Greifswald
Remscheid,http://sws.geonames.org/2848273,Remscheid
Bonn a. Rhein,,
Bonn,http://pleiades.stoa.org/places/108818,"Bonna|Bonna, Bonn|Bonn"
Spandau,http://sws.geonames.org/7290252,Spandau
Berka,http://sws.geonames.org/2953548,Bad Berka
Han,http://sws.geonames.org/312649,Han
Hildesheim,http://pleiades.stoa.org/places/98981,Hildesheim|Hildesheim|Hildesheim
Gotha,http://sws.geonames.org/2918752,Gotha
Pfar,,
Toggenburg,http://geo-kima.org/place/3507,Toggenburg Mountains (Switzerland)
Basel,http://geo-kima.org/place/12627,Basel (Switzerland : Canton)
Boston,http://sws.geonames.org/1723862,Boston
Altkirch,http://sws.geonames.org/3038012,Altkirch
Holland,http://sws.geonames.org/4996248,Holland
Staal,,
Rußlands,,
Estland,http://sws.geonames.org/453733,Estonia
Finnland,http://sws.geonames.org/660013,Finland
Schloß Fürstenstein,,
Duis,,
Sahara,http://geo-kima.org/place/2019,Sahara
