,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
109,"Almwart, Ernst",Almwart Ernst,Almwart,Ernst,.
110,Aloys der Taunide,Aloys der Taunide,Aloys der Taunide,,.
111,Alpenburg,Alpenburg,Alpenburg,,1. April 1873
112,"Alper, J. J",Alper J. J,Alper,J. J,.
113,"Alpers, Wilhelm",Alpers Wilhelm,Alpers,Wilhelm,7. Juli1851
114,Alsaticus,Alsaticus,Alsaticus,,.
115,"Alt, Alarich vom",Alt Alarich,Alt,Alarich,2. Oktbr. 1832
116,"Alt, Jakob",Alt Jakob,Alt,Jakob,.
117,"Alt, Theodor",Alt Theodor,Alt,Theodor,31. März1858
118,"Altburg, J",Altburg J,Altburg,J,.
119,"Alt-Damerow, Hermann von",Alt-Damerow Hermann,Alt-Damerow,Hermann,.
120,"Alten, Hedwig von",Alten Hedwig,Alten,Hedwig,24.März 1847
121,"Altena, Karl Ernst",Altena Karl Ernst,Altena,Karl Ernst,.
122,"Altenberg, Peter",Altenberg Peter,Altenberg,Peter,9. März 1859
123,"Altenbernd, L",Altenbernd L,Altenbernd,L,24. Novbr.1819
124,Alter vom Berge,Alter vom Berge,Alter vom Berge,,.
125,"Althaber, Wilhelmine",Althaber Wilhelmine,Althaber,Wilhelmine,12. Juni 1841
126,"Althaus, Karl Hermann",Althaus Karl Hermann,Althaus,Karl Hermann,9. Febr. 1844
127,"Althaus, Theodor",Althaus Theodor,Althaus,Theodor,22. Oktbr. 1822
128,"Altherr, Alfred",Altherr Alfred,Altherr,Alfred,14. März1843
129,"Althof, Paul",Althof Paul,Althof,Paul,.
130,"Altkirch, Ernst",Altkirch Ernst,Altkirch,Ernst,9. März 1873
131,"Altmann, Karl Friedrich",Altmann Karl Friedrich,Altmann,Karl Friedrich,10. Juni 1873
132,"Altmann, Wilhelm",Altmann Wilhelm,Altmann,Wilhelm,23.März 1864
133,"Altmüller, Karl",Altmüller Karl,Altmüller,Karl,1.Jan. 1833
134,"d’Altona, Heinrich",d’Altona Heinrich,d’Altona,Heinrich,.
135,"Altrichter, Karl Friedrich",Altrichter Karl Friedrich,Altrichter,Karl Friedrich,9. Juni 1844
136,"Altschul, Jakob",Altschul Jakob,Altschul,Jakob,14.Februar 1843
137,"Altschul, Jgnaz",Altschul Jgnaz,Altschul,Jgnaz,.
138,"Altvater, Paul",Altvater Paul,Altvater,Paul,8. Juni1836
