gnd,wohnort_1,wohnort_2,wohnort_3,wohnort_4,wohnort_5,wohnort_6,wohnort_7,wohnort_8,wohnort_9,wohnort_10,wohnort_11,wohnort_12,wohnort_13,wohnort_14,wohnort_15,wohnort_16,wohnort_17,wohnort_18
116033274,St. Louis,Stuttgart,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116035226,Wien,Linz,München,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116037970,Leipzig,Leipzig,Dortmund,Wengern a. d. Ruhr,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116043121,Frankfurt a. M.,Düsseldorf,Frankfurt a. M.,Worms,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116043229,Bleckede,Hannover,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116043628,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116045469,Wien,Schloss Waldstein,Rom,Leutomischel,Schleswig,Berlin,Rom,Hernals,Stein,Berlin,.,.,.,.,.,.,.,.
116046414,Neunkirchen,Greifswald,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116046554,Hill,Arnsberg,Berlin,Arnsberg,San Francisco,Lüneburg,Lübeck,München,Venedig,.,.,.,.,.,.,.,.,.
116050411,Heidelberg,Wien,Salzburg,Brünn,Kopenhagen,Rom,Genf,Rom,.,.,.,.,.,.,.,.,.,.
116051604,Pest,Wien,Leipzig,Berlin,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.
116053143,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116057211,Sand,Rotz,Nymphenburg,München,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116058021,Ancona,Wien,Rom,Hamburg,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.
116061308,Pasewalk,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116062568,Hildesheim,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116062827,Amstetten,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116063955,Hamburg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116066350,Wien,Rokitnitz,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116067217,Budapest,Trencsin,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116067608,Oels,Charlottenburg,Weimar,Breslau,Breslau,Rom,Rom,.,.,.,.,.,.,.,.,.,.,.
116071516,Landshut,Berchtesgaden,Landau,München,Regensburg,.,.,.,.,.,.,.,.,.,.,.,.,.
116074841,Sand,Würzburg,Nürnberg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116077425,Rom,Waterloo,Hannover,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116081392,Wien,Paris,Gotha,Berlin,München,Bája,.,.,.,.,.,.,.,.,.,.,.,.
116083352,Leipzig,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116083387,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116083441,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116085401,Breslau,Krotoschin,Posen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116086033,Hamburg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116089121,Stuttgart,Breslau,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116090340,Naumburg,Altenburg,Rom,Grossenhain,Würzburg,Leipzig,Erfurt,Schulpforta,Rom,Dresden,Ulm,.,.,.,.,.,.,.
116096691,Bielefeld,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116099852,Washington,Stuttgart,Forst,New-York,Philadelphia,Dresden,.,.,.,.,.,.,.,.,.,.,.,.
116100818,Ponholz,Philadelphia,München,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116101857,Hill,Freiburg,Freiburg i. Br.,München,Freiburg i. B,Freiburg i. Br,.,.,.,.,.,.,.,.,.,.,.,.
116101911,Kassel,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116104058,Berlin,Neustrelitz,Friedrichshagen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116104317,Frankenthal,München,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116104821,Eberswalde,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116107324,Leipzig,München,Stein,Nürnberg,München,.,.,.,.,.,.,.,.,.,.,.,.,.
116116455,Wehlau,Elbing,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116116625,Diez,Netphen,Diez,Rom,Berlin,Rom,.,.,.,.,.,.,.,.,.,.,.,.
116117966,München,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116120495,Landeck,Berlin,Weimar,Würzburg,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116120517,Göttingen,Paris,Passy,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116126159,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116127473,Breslau,Namslau,Friederikenhof,Posen,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116129859,Leyden,Köln,Rotterdam,Weimar,Köln a. Rhein,.,.,.,.,.,.,.,.,.,.,.,.,.
116135395,Wien,Schloss Reifenstein,Livorno,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116135875,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116137312,Berlin,Campe,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116138645,Nikolsburg,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116142855,Bromberg,Kydullen,Iena,Bromberg,Kydullen,.,.,.,.,.,.,.,.,.,.,.,.,.
116143754,Darmstadt,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116145110,Hannover,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116146095,Pappenheim,Rorn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116146273,Bern,Königsberg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116147857,Bern,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116154985,Königsberg,Petersburg,Hamburg,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116155809,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116159790,Frankfurt a. M.,Mannheim,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116160187,Delitzsch,Bielefeld,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116161787,Neuhaus,Wien,Berlin,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116162937,Glaubitten,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116169257,Münster,Henrichenburg i. W.,Paderborn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116182458,Basel,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116183373,Eisenach,Chemnitz,Homberg,Cöthen,Liegnitz,Berlin,Nürnberg,München,.,.,.,.,.,.,.,.,.,.
116183578,Stuttgart,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116184833,Leipzig,Leipzig,Coswig,Zittau,Lindenhof,.,.,.,.,.,.,.,.,.,.,.,.,.
116186399,Danzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116194014,Celle,Stuttgart,Rom,Paris,Hannover,Leipzig,Berlin,München,Algier,Rom,Dresden,.,.,.,.,.,.,.
116197722,Friedenau,Königsberg,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116197854,Wiesbaden,Riga,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116203838,Dessau,Breslau,Brooklyn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116204788,Chur,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116205989,Halberstadt,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116206098,Iena,Berlin,Lützow,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116206500,Tarnow,Spandau,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116209534,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116210133,Untergöltzsch,Rodewisch,Posen,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116211776,Lobendau,Namslau,Liegnitz,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116212217,Prag,Kleinseite,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116214678,Köln,Koblenz,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116218266,Detmold,Hannover,Stettin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116219920,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116223715,Tarnow,Rhena,Wiesbaden,Forst,Leipzig,Wien,Karasu,Riga,.,.,.,.,.,.,.,.,.,.
116225904,Hamburg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116226099,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116226668,Leyden,Marienwerder,Danzig,Berlin,Metz,Stuttgart,Rom,Leipzig,Rom,.,.,.,.,.,.,.,.,.
116228504,Emden,Leipzig,Gohlis,Hill,Rom,Berlin,Rom,.,.,.,.,.,.,.,.,.,.,.
116229071,Nürnberg,München,Nürnberg,München,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116230770,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116231068,Iena,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116231300,Berlin,Westend,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116231556,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116232153,Köln,Rostock,Bützow,Wandsbeck,Rom,Köln,Rom,Bärwalde,Rom,Rom,Bützow,.,.,.,.,.,.,.
116232579,Daber,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116233249,Marburg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116233265,Wien,Bystritz,Pernstein,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116234695,Köln,Rheine,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116235942,Mailand,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116247320,Hamm,Danzig,Breslau,Potsdam,Berlin,Kiel,Lützow,Berlin,.,.,.,.,.,.,.,.,.,.
116249382,Rom,Würzburg,München,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116251654,Berlin,München,Stuttgart,Herrnhut,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116251883,Ravensburg,Heidelberg,Augsburg,Mannheim,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116253479,Bade Rheme,Potsdam,Bornstedt,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116254971,Schönberg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116255056,Dessau,Schwerin,Rom,Berlin,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.
116260947,Wien,Leitmeritz,Gross-Glogau,Breslau,Rom,Glogau,Hietzing,Rom,.,.,.,.,.,.,.,.,.,.
116263008,Frankfurt a. M.,Wackerbartsruhe,Rom,Leipzig,Rom,Dresden,Halle,Leipzig,Berlin,Hall,Wiesbaden,Leipzig,Stuttgart,.,.,.,.,.
116264349,Königsberg,Magdeburg,Breslau,Königshütte,Hamburg,Berlin,Bremen,Lissa,Dresden,Posen,.,.,.,.,.,.,.,.
116265825,Wien,Teschen,.,.,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.
116266031,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116266414,Franzensbad,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116268522,Raab,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116269596,Rabenstein,München,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116270810,Lauterbach,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116279028,Potsdam,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116280077,Marienbad,Prag,Wien,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116281774,Wien,Serajevo,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116294051,Bonn,Remscheid,Greifswald,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116296496,Wien,Budapest,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116299525,Wien,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116300310,Cöthen,Hamm,Neuhaldensleben,Halberstadt,Volpke,Köthen,Hamburg,.,.,.,.,.,.,.,.,.,.,.
116303336,Basel,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116304669,Mewe,Breslau,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116304723,Wien,Hannover,Würzburg,München,Gmunden,.,.,.,.,.,.,.,.,.,.,.,.,.
116305630,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116311355,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116312319,Werne,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116313145,Wien,Kassel,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116317442,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116317736,Biebrich am Rhein,Biebrich,Bonn,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116320850,Limmer,Tunis,Berlin,Mülheim,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.
116322748,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116335696,Gaffert,Stolp,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116336412,Breslau,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116337265,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116342692,Stein,Stuttgart,Rom,Berlin,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.
116343265,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116344407,Wien,Arnsberg,Hütteldorf,München,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116354666,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116361492,Halle a. S.,Halle,Paris,Berlin,Hall,.,.,.,.,.,.,.,.,.,.,.,.,.
116363207,Neustettin,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116366176,Magdeburg,Hadamar,Wiesbaden,Darmstadt,Luxemburg,Paris,Nassau,Leipzig,Halle a. S.,Gandersheim,Herrhausen,Halle,Tokio,Braunschweig,Hall,.,.,.
116367253,Celle,Hannover,Dresden,Meppen,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116368527,München,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116369434,Schleissheim,München,Regensburg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116371641,Düsseldorf,Hamburg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116373334,Wien,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116378220,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116378921,Hagen,Arolsen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116379685,Düsseldorf,Darmstadt,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116384697,Rochlitz,Halle,Hall,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116385995,Strassburg,Epinal,Mühlhausen,Rom,Strassb,Bremen,Rom,Lützow,.,.,.,.,.,.,.,.,.,.
116389699,Stuttgart,Speyer,Nürnberg,Speyer,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116393289,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116396911,Gersdorf,Dresden,Marienthal,Paris,Florenz,Dresden,.,.,.,.,.,.,.,.,.,.,.,.
116397977,Bern,Königsberg,Friedrichroda,London,Rom,Hamburg,Berlin,Rom,.,.,.,.,.,.,.,.,.,.
116401559,Forst,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116402814,Niedermarsberg,Darmstadt,Brillon,Hannover,Wesel,.,.,.,.,.,.,.,.,.,.,.,.,.
116404124,St. Louis,Aschaffenburg,Montmirail,Niesky,Görlitz,.,.,.,.,.,.,.,.,.,.,.,.,.
116410175,Danzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116412690,Köln,Zombor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116420669,Köln,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116421339,Merseburg,Magdeburg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116432195,Leipzig,Arolsen,Cassel,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116434015,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116435224,Hamburg,Campe,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116436336,München,Zürich,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116439076,Barmen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116443588,Orleans,Rostock,Dargun,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116449012,Dresden,Schleiz,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116451866,Einbeck,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116452145,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116453591,Wernigerode,Ilsenburg,Gedern,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116460288,Gotha,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116461632,Potsdam,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116466189,Mainz,Eberswalde,Wiesbaden,Rom,Köln,Berlin,Rom,Angerburg,.,.,.,.,.,.,.,.,.,.
116471778,Rom,Hannover,Leipzig,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116472790,Magdeburg,Wiesbaden,Dillenburg,Meran,Oberlahnstein a. Rh.,Kreuznach,Idstein,Nassau,Mainz,Neuhaus,Trier,Metz,Berlin,München,Neuhausen,.,.,.
116472804,Leipzig,Kolberg,Wien,Rom,Berlin,Rom,.,.,.,.,.,.,.,.,.,.,.,.
116473908,Königsberg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116474343,Sprottau,Krossen an der Oder,Halberstadt,Rom,Tegel,Hannover,Berlin,Münden,Rom,Görlitz,.,.,.,.,.,.,.,.
116474750,Rom,Hamburg,Borgfelde,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116478403,Güstrow,Wiesbaden,Schwerin,Dresden,Strassburg,Strassb,Basel,.,.,.,.,.,.,.,.,.,.,.
116483431,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116484802,Fürstenwalde,Züllichau,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116489014,Blankenburg am Harz,Blankenburg,Nürnberg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116489103,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116490292,Plauen,Glauchau,Hartenstein,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116490926,Stuttgart,Rom,Karlsruhe,Nürnberg,Nymphenburg,München,Rom,Hall,.,.,.,.,.,.,.,.,.,.
116491388,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116494115,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116507470,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116507713,Mainz,Hamburg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116511869,Düsseldorf,Berlin,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116512113,Wien,Weimar,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116512628,Hamburg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116522720,Bern,Breslau,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116526173,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116527102,Pappenheim,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116527188,Triebschen,New-York,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116531762,Warburg,Warburg,Danzig,Berlin,Nürnberg,.,.,.,.,.,.,.,.,.,.,.,.,.
116533927,Herzberg,Giebichenstein,Rom,Halle,St. Zeno,Reichenhall,München,Rom,Hall,.,.,.,.,.,.,.,.,.
116534427,Rom,Halle,Lübeck,Rio de Ianeiro,Rom,Hall,Rom,Rom,.,.,.,.,.,.,.,.,.,.
116535431,Belzig,Liebenau,Schwiebus,Berlin,Schöneberg,.,.,.,.,.,.,.,.,.,.,.,.,.
116536624,Berlin,Lindau,Petersburg,Wittenberg,Karlsruhe,.,.,.,.,.,.,.,.,.,.,.,.,.
116537175,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116539801,Fels,München,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116550384,Bern,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116550872,München,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116550880,Halle,München,Hall,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116551593,Darmstadt,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116556765,Wiesbaden,Wien,Schwerin,.,Breslau,Hamburg,Berlin,Wien,München,Dresden,.,.,.,.,.,.,.,.
116557915,Wien,Paris,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116561882,München,Nürnberg,Bonn,Stettin,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116563559,Rom,Berlin,Rom,Steglitz,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116565713,Rom,Marienau,Rom,Klein-Falkenau,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116566795,Steyr,Rom,Leonstein a d. Steyr,Graz,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.
116568593,Hill,Honor Oak Road,London,Rapperswyl,Forest Hill,Cedar Lodge,.,.,.,.,.,.,.,.,.,.,.,.
116569379,München,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116570741,Koburg,Frankenhausen,Herrnhut,Münster,Breslau,Köln,Kassel,New-York,Berlin,.,.,.,.,.,.,.,.,.
116572957,Schleswig,Greifswald,Schleswig,Greifswald,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116577266,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116577541,Detmold,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116580739,Roda,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116584076,Wien,Hansu,Dresden-A.,Zürich,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.
116585889,Karlsruhe,Karlsruhe,Karlsruhe,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116588381,Stuttgart,Stuttgart,Aidlingen,Cannstadt,Pfullingen,.,.,.,.,.,.,.,.,.,.,.,.,.
116608498,Wolgast,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116621672,Pest,Charlottenburg,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116625961,Stuttgart,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116627883,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116633174,Prag,Semil,Morchenstern,Gablonz,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116640758,Köln,Rheine,Koblenz,Vallendar,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116640979,Stuttgart,Basel,Kirchberg,Aachen,Berlin,Kirchberg am Iaxt,.,.,.,.,.,.,.,.,.,.,.,.
116641509,Aarau,Brugg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116641843,Hohnstein,Hattingen,Kötzschenbroda,Rom,Morges,Haus Bruch,Hannover,Berlin,Genf,Rom,Dresden,Neustadt,.,.,.,.,.,.
116642866,Tempelhof,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116643013,Adenau,Düsseldorf,Hamm,Wickrathberg,Hammickeln,Glücksthal,Wesel,.,.,.,.,.,.,.,.,.,.,.
116643021,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116645504,Göttingen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116650680,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116654287,Iena,Altenburg,Kahla,Berlin,Stuttgart,.,.,.,.,.,.,.,.,.,.,.,.,.
116654430,Strehlen,Hannover,Minden,Kaiserswerth,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116655151,Stein,Kaiserslautern,München,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116656301,Hannover,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116657979,Iena,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116659076,Bonn,Halle,Rodenberg,Leipzig,Hall,.,.,.,.,.,.,.,.,.,.,.,.,.
116661917,Düsseldorf,Lüneburg,Bremen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116665122,Forst,Nürnberg,München,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116666684,Königsberg,Glogau,Berlin,Steglitz,Glogau,Berlin,Steglitz,.,.,.,.,.,.,.,.,.,.,.
116666765,Hamburg,Hannover,Schleswig,Braunschweig,Altona,Rom,Hannover,Rom,Neustadt,.,.,.,.,.,.,.,.,.
116669616,Kissingen,Bad Kissingen,Villa Fürstenhof,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116671742,Magdeburg,Heidelberg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116672838,Haardt,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116674415,Plauen,Grünberg,Leipzig,Niesky,Striesen,Blasewitz,Dresden,.,.,.,.,.,.,.,.,.,.,.
116674725,Neu-Strelitz,Strelitz,Hinrichshagen,Lübeck,Woldegk,.,.,.,.,.,.,.,.,.,.,.,.,.
116676892,Konstanz,Konstanz,Wiesbaden,Pirna,Leipzig,Konstanz,Dresden,Konstanz,.,.,.,.,.,.,.,.,.,.
116679913,Rom,Leipzig,Berlin,Rom,Rom,Leipzig,Rom,.,.,.,.,.,.,.,.,.,.,.
116682477,Blankenburg am Harz,Wolfenbüttel,Bayonne,Blankenburg,Paris,Hubertusburg,Lyon,Toulouse,Zürich,Blasewitz,Dresden,.,.,.,.,.,.,.
116683104,Meran,Bade Egart,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116683287,Einsiedeln,Rom,Würzburg,München,Rom,Lohr,.,.,.,.,.,.,.,.,.,.,.,.
116684208,Königsberg,Rom,Rom,Lemberg,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116686049,Iglau,Wien,Eibenschütz,Kuttenberg,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116692448,Stargardt,Danzig,Glogau,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
