gnd,wohnort_1,wohnort_2,wohnort_3,wohnort_4,wohnort_5,wohnort_6,wohnort_7,wohnort_8,wohnort_9,wohnort_10,wohnort_11,wohnort_12,wohnort_13,wohnort_14,wohnort_15,wohnort_16,wohnort_17,wohnort_18
117127728,Magdeburg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117130249,Danzig,Zoppot,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117133817,Prag,Hannover,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117134082,Basel,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117139181,Florenz,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117140678,Halle,Hall,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117142638,Karlskrona,Kopenhagen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117144711,Ohlau,Kassel,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117147303,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117148024,Lauterburg,Ortenburg,Stuttgart,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117155012,Pest,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117155071,Strassburg,Graudenz,Strassb,Elbing,Marienburg,.,.,.,.,.,.,.,.,.,.,.,.,.
117155772,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117156574,Königsberg,Marienwerder,Halensee,Haide,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.
117157945,Russheim,Karlsruhe,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117160067,Rom,Leipzig,Rom,Upsala,Rom,Kassel,Florenz,Gotha,Leipzig,Berlin,Rom,.,.,.,.,.,.,.
117160989,Diez,Oranienstein,Potsdam,Freiendiez,Nassau,.,.,.,.,.,.,.,.,.,.,.,.,.
117162655,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117165999,Bern,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117166391,Bonn,Köln,Poppelsdorf,Bonn am Rhein,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117167355,Schwerin,Wismar,Rostock,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117169137,Neuwied,Neuwied a. Rh.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117170968,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117171417,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117185299,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117185361,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117186945,Immelborn,Barchfeld,Kassel,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117190071,Turin,Stettin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117192945,Leipzig,Blasewitz,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117194379,Reval,Lilienbach,Narwa,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117195146,Würzburg,Stade,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117202789,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117205346,Aarau,Pest,Gotha,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117206342,Hannover,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117211117,Elmshorn,Altona,Rom,Rom,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.
117212776,Perleberg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117212784,Hill,London,Berlin,Polkritz,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117215139,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117220833,Suhl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117221554,Werne,Münster,Aachen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117221600,Leipzig,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117223107,Weiden,Danzig,Düsseldorf,Naumburg,Iena,Brüssel,Berlin,Weimar,Antwerpen,Görlitz,Naumburg a. S.,.,.,.,.,.,.,.
117231002,Darmstadt,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117235733,Bern,Bern,Bern,Meersburg,Baden-Baden,.,.,.,.,.,.,.,.,.,.,.,.,.
117239712,Mackenzell,Weiden,Kassel,Braunschweig,Destedt,Hünfeld,.,.,.,.,.,.,.,.,.,.,.,.
117243698,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117248134,Rom,Gotha,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117258059,Stein,Stein,Rom,Halle,Berlin,Kobylin,Rom,Hall,Posen,Halle a. d. Saale,.,.,.,.,.,.,.,.
117259748,Düsseldorf,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117259896,Dachau,Stuttgart,Lensahn,Berlin,München,.,.,.,.,.,.,.,.,.,.,.,.,.
117261467,Salzbrunn,Salzbrunn,Erlenthal,Einsiedeln,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117261564,Berlin,München,Düsseldorf,Solingen,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117262994,Eutin,Schwartau,Lübeck,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117264326,Civitavecchia,Wien,Steyr,Wien,Brandenburg a. d. Havel,Breslau,Wiener-Neustadt,Bunzlau,Görlitz,Neustadt,Thale,Stuttgart,.,.,.,.,.,.
117268194,Tübingen,Calw,Tübingen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117274992,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117275085,Augsburg,Weiherhammer,Weiden,Neapel,Göggingen,Rom,München,Rom,.,.,.,.,.,.,.,.,.,.
117275972,Wien,Breslau,Lemberg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117277800,Soltau,Berlin,Lützow,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117279692,Wien,Kiel,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117281859,St. Gallen,Halle,Hall,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117283355,Diez,Arnstadt,Gräfenthal,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117284106,Bern,Bremerhafens,Bremen,München,Bern,Leipzig,Berlin,.,.,.,.,.,.,.,.,.,.,.
117285064,Bern,Wien,Moskau,Paris,Berlin,Dom Nirnhoff,Bern,Berlin,Lützow,.,.,.,.,.,.,.,.,.
117291226,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117293962,Stuttgart,Ludwigsburg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117301248,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117304166,Werne,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117304700,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117312002,Mannheim,Rom,Zürich,Rom,Mannheim,Rom,Leipzig,Rom,Mannheim,Bühl,.,.,.,.,.,.,.,.
117313483,Frankenthal,Zittau,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117313890,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117314609,Wolfenbüttel,Weimar,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117314838,Wien,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117315001,Hamburg,Hannover,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117316504,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117321435,Schorndorf,Heidelberg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
